LOCATION,TIME,Value
AUT,2004,47464.0680315261
AUT,2005,47715.5276666741
AUT,2006,48411.6097437845
AUT,2007,48644.5751102388
AUT,2008,49509.355655464
AUT,2009,50312.1937809248
AUT,2010,50096.7144403547
AUT,2011,49578.9147044103
AUT,2012,49835.1142689799
AUT,2013,49896.4923427939
AUT,2014,50082.8486085934
AUT,2015,50373.8110600107
AUT,2016,50906.0202794225
AUT,2017,50851.3971310611
AUT,2018,50868.2460070356
BEL,2004,50932.2382068964
BEL,2005,50609.8880608394
BEL,2006,50815.5954636155
BEL,2007,50575.4020988928
BEL,2008,50725.026495778
BEL,2009,51159.3217639053
BEL,2010,50872.4869977198
BEL,2011,51204.9433987126
BEL,2012,51550.5810399973
BEL,2013,52221.5780271822
BEL,2014,52514.3276124905
BEL,2015,52120.1091513927
BEL,2016,51951.714996454
BEL,2017,51736.0997219822
BEL,2018,52079.6153106353
CZE,2004,20309.718273768
CZE,2005,20921.0937601722
CZE,2006,21756.3849063862
CZE,2007,22412.3365141162
CZE,2008,22423.0087208279
CZE,2009,22371.6839000373
CZE,2010,22944.4926009349
CZE,2011,23101.9945551958
CZE,2012,23089.6502026763
CZE,2013,22846.099456707
CZE,2014,23324.2613160963
CZE,2015,23962.8125610714
CZE,2016,24778.2454999989
CZE,2017,25804.1043574441
CZE,2018,26961.5755906614
DNK,2004,47604.0344339505
DNK,2005,48410.906477553
DNK,2006,49235.1531399001
DNK,2007,49771.7694008918
DNK,2008,50445.5198841037
DNK,2009,51668.5740343619
DNK,2010,52263.8567019065
DNK,2011,51993.2588376201
DNK,2012,51923.1035581541
DNK,2013,52260.7046089948
DNK,2014,53260.7440594153
DNK,2015,54196.8862033953
DNK,2016,55032.3464419933
DNK,2017,54722.5034956739
DNK,2018,55253.3420271725
FIN,2004,39622.9838628575
FIN,2005,40535.7987693477
FIN,2006,41478.6983095704
FIN,2007,42110.6872214358
FIN,2008,42518.6407442485
FIN,2009,42861.7161774307
FIN,2010,43535.1708693634
FIN,2011,43684.9402860267
FIN,2012,43715.1561535435
FIN,2013,43245.2669675646
FIN,2014,43229.0935131727
FIN,2015,43617.2844843303
FIN,2016,43968.9316285763
FIN,2017,43801.8690399294
FIN,2018,44111.4000300468
FRA,2004,39315.1747649341
FRA,2005,39792.1734122343
FRA,2006,40236.6700084649
FRA,2007,40386.8335507641
FRA,2008,40308.4083589361
FRA,2009,41589.7271840684
FRA,2010,42435.382461807
FRA,2011,42370.2975642061
FRA,2012,42654.3682578995
FRA,2013,43012.5415445609
FRA,2014,43308.8458742606
FRA,2015,43731.6568653337
FRA,2016,44220.2546274175
