Area Code,Area,Item Code,Item,Element Code,Element,Unit,Y1991,Y1991F,Y1992,Y1992F,Y1993,Y1993F,Y1994,Y1994F,Y1995,Y1995F,Y1996,Y1996F,Y1997,Y1997F,Y1998,Y1998F,Y1999,Y1999F,Y2000,Y2000F,Y2001,Y2001F,Y2002,Y2002F,Y2003,Y2003F,Y2004,Y2004F,Y2005,Y2005F,Y2006,Y2006F,Y2007,Y2007F,Y2008,Y2008F,Y2009,Y2009F,Y2010,Y2010F,Y2011,Y2011F,Y2012,Y2012F,Y2013,Y2013F,Y2014,Y2014F,Y2015,Y2015F,Y2016,Y2016F,Y2017,Y2017F,Y2018,Y2018F
"3","Albania","515","Apples","5530","Producer Price (LCU/tonne)","LCU",,,,,"32800.000000","",,,"30000.000000","","34000.000000","","37700.000000","","37500.000000","","37200.000000","","37000.000000","","37000.000000","","38500.000000","","38700.000000","","38600.000000","","39000.000000","","42000.000000","","44000.000000","","40000.000000","","44000.000000","","37000.000000","","39000.000000","","40000.000000","","52000.000000","","50083.300000","","49000.000000","","47335.900000","","54979.400000","","46997.700000",""
"3","Albania","515","Apples","5531","Producer Price (SLC/tonne)","SLC",,,,,"32800.000000","",,,"30000.000000","","34000.000000","","37700.000000","","37500.000000","","37200.000000","","37000.000000","","37000.000000","","38500.000000","","38700.000000","","38600.000000","","39000.000000","","42000.000000","","44000.000000","","40000.000000","","44000.000000","","37000.000000","","39000.000000","","40000.000000","","52000.000000","","50083.300000","","49000.000000","","47335.900000","","54979.400000","","46997.700000",""
"3","Albania","515","Apples","5532","Producer Price (USD/tonne)","USD",,,,,"461.100000","",,,"323.600000","","325.400000","","253.100000","","248.900000","","270.200000","","257.500000","","257.900000","","274.700000","","317.600000","","375.600000","","390.500000","","428.100000","","486.600000","","476.800000","","463.300000","","356.000000","","386.500000","","369.700000","","492.100000","","474.800000","","389.000000","","381.300000","","461.600000","","435.200000",""
"3","Albania","526","Apricots","5530","Producer Price (LCU/tonne)","LCU",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"89000.000000","","52000.000000","","44000.000000","","38000.000000","","50000.000000","","47000.000000","","59000.000000","","53000.000000","","87000.000000","","80000.000000","","94000.000000","","90885.600000","","71348.000000","","83991.300000",""
"3","Albania","526","Apricots","5531","Producer Price (SLC/tonne)","SLC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"89000.000000","","52000.000000","","44000.000000","","38000.000000","","50000.000000","","47000.000000","","59000.000000","","53000.000000","","87000.000000","","80000.000000","","94000.000000","","90885.600000","","71348.000000","","83991.300000",""
"3","Albania","526","Apricots","5532","Producer Price (USD/tonne)","USD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"891.200000","","530.100000","","486.600000","","452.900000","","526.400000","","452.200000","","584.800000","","489.900000","","823.300000","","758.400000","","746.300000","","732.100000","","599.100000","","777.800000",""
"3","Albania","44","Barley","5530","Producer Price (LCU/tonne)","LCU",,,,,,,,,,,"30000.000000","","37000.000000","","49000.000000","","42000.000000","","45000.000000","","43000.000000","","43000.000000","","43000.000000","","41300.000000","","40000.000000","","30000.000000","","30500.000000","","39000.000000","","39000.000000","","32000.000000","","34200.000000","","34200.000000","","51000.000000","","45500.000000","","43000.000000","","39687.800000","","36159.600000","","32630.000000",""
"3","Albania","44","Barley","5531","Producer Price (SLC/tonne)","SLC",,,,,,,,,,,"30000.000000","","37000.000000","","49000.000000","","42000.000000","","45000.000000","","43000.000000","","43000.000000","","43000.000000","","41300.000000","","40000.000000","","30000.000000","","30500.000000","","39000.000000","","39000.000000","","32000.000000","","34200.000000","","34200.000000","","51000.000000","","45500.000000","","43000.000000","","39687.800000","","36159.600000","","32630.000000",""
"3","Albania","44","Barley","5532","Producer Price (USD/tonne)","USD",,,,,,,,,,,"287.100000","","248.400000","","325.300000","","305.000000","","313.100000","","299.700000","","306.800000","","352.900000","","401.800000","","400.500000","","305.800000","","337.300000","","464.900000","","410.600000","","307.900000","","339.000000","","316.100000","","482.600000","","431.400000","","341.400000","","319.700000","","303.600000","","302.200000",""
"3","Albania","176","Beans, dry","5530","Producer Price (LCU/tonne)","LCU",,,,,"31800.000000","",,,"81000.000000","","63000.000000","","108000.000000","","144000.000000","","111000.000000","","76000.000000","","116000.000000","","108000.000000","","72300.000000","","108300.000000","","117200.000000","","115900.000000","","92000.000000","","135000.000000","","156000.000000","","141000.000000","","134000.000000","","169000.000000","","254000.000000","","217241.700000","","219000.000000","","206285.300000","","203712.800000","","224472.900000",""
"3","Albania","176","Beans, dry","5531","Producer Price (SLC/tonne)","SLC",,,,,"31800.000000","",,,"81000.000000","","63000.000000","","108000.000000","","144000.000000","","111000.000000","","76000.000000","","116000.000000","","108000.000000","","72300.000000","","108300.000000","","117200.000000","","115900.000000","","92000.000000","","135000.000000","","156000.000000","","141000.000000","","134000.000000","","169000.000000","","254000.000000","","217241.700000","","219000.000000","","206285.300000","","203712.800000","","224472.900000",""
"3","Albania","176","Beans, dry","5532","Producer Price (USD/tonne)","USD",,,,,"447.000000","",,,"873.800000","","602.900000","","725.200000","","956.000000","","806.200000","","528.800000","","808.400000","","770.600000","","593.300000","","1053.700000","","1173.500000","","1181.400000","","1017.400000","","1609.200000","","1642.500000","","1356.600000","","1328.100000","","1562.100000","","2403.700000","","2059.600000","","1738.600000","","1661.700000","","1710.400000","","2078.700000",""
"3","Albania","414","Beans, green","5530","Producer Price (LCU/tonne)","LCU",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"139000.000000","","79500.000000","",,,"95279.700000","","101089.600000","","105477.400000",""
"3","Albania","414","Beans, green","5531","Producer Price (SLC/tonne)","SLC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"139000.000000","","79500.000000","",,,"95279.700000","","101089.600000","","105477.400000",""
"3","Albania","414","Beans, green","5532","Producer Price (USD/tonne)","USD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1315.400000","","753.700000","",,,"767.500000","","848.800000","","976.700000",""
"3","Albania","358","Cabbages and other brassicas","5530","Producer Price (LCU/tonne)","LCU",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"31000.000000","","22000.000000","","15000.000000","","25000.000000","","21000.000000","","22000.000000","","29000.000000","","22000.000000","","35000.000000","","22666.700000","","40000.000000","","25093.400000","","21507.400000","","22323.200000",""
"3","Albania","358","Cabbages and other brassicas","5531","Producer Price (SLC/tonne)","SLC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"31000.000000","","22000.000000","","15000.000000","","25000.000000","","21000.000000","","22000.000000","","29000.000000","","22000.000000","","35000.000000","","22666.700000","","40000.000000","","25093.400000","","21507.400000","","22323.200000",""
