Domain;Country;Element;Item;Year;Unit;Value
Food Supply - Livestock and Fish Primary Equivalent;Albania;Food supply quantity (kg/capita/yr);Bovine Meat;2004;kg;14.82
Food Supply - Livestock and Fish Primary Equivalent;Albania;Food supply quantity (kg/capita/yr);Bovine Meat;2005;kg;15.01
Food Supply - Livestock and Fish Primary Equivalent;Albania;Food supply quantity (kg/capita/yr);Bovine Meat;2006;kg;18.19
Food Supply - Livestock and Fish Primary Equivalent;Albania;Food supply quantity (kg/capita/yr);Bovine Meat;2007;kg;18.36
Food Supply - Livestock and Fish Primary Equivalent;Albania;Food supply quantity (kg/capita/yr);Bovine Meat;2008;kg;20.22
Food Supply - Livestock and Fish Primary Equivalent;Albania;Food supply quantity (kg/capita/yr);Bovine Meat;2009;kg;19.71
Food Supply - Livestock and Fish Primary Equivalent;Albania;Food supply quantity (kg/capita/yr);Bovine Meat;2010;kg;21.38
Food Supply - Livestock and Fish Primary Equivalent;Albania;Food supply quantity (kg/capita/yr);Bovine Meat;2011;kg;21.24
Food Supply - Livestock and Fish Primary Equivalent;Albania;Food supply quantity (kg/capita/yr);Bovine Meat;2012;kg;22.4
Food Supply - Livestock and Fish Primary Equivalent;Albania;Food supply quantity (kg/capita/yr);Bovine Meat;2013;kg;22.5
Food Supply - Livestock and Fish Primary Equivalent;Albania;Food supply quantity (kg/capita/yr);Mutton & Goat Meat;2004;kg;6.75
Food Supply - Livestock and Fish Primary Equivalent;Albania;Food supply quantity (kg/capita/yr);Mutton & Goat Meat;2005;kg;6.78
Food Supply - Livestock and Fish Primary Equivalent;Albania;Food supply quantity (kg/capita/yr);Mutton & Goat Meat;2006;kg;6.87
Food Supply - Livestock and Fish Primary Equivalent;Albania;Food supply quantity (kg/capita/yr);Mutton & Goat Meat;2007;kg;8.41
Food Supply - Livestock and Fish Primary Equivalent;Albania;Food supply quantity (kg/capita/yr);Mutton & Goat Meat;2008;kg;9.63
Food Supply - Livestock and Fish Primary Equivalent;Albania;Food supply quantity (kg/capita/yr);Mutton & Goat Meat;2009;kg;10.83
Food Supply - Livestock and Fish Primary Equivalent;Albania;Food supply quantity (kg/capita/yr);Mutton & Goat Meat;2010;kg;12.11
