"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","GDP","TOT","USD_CAP","A","1998",26674.596858,
"AUT","GDP","TOT","USD_CAP","A","1999",27606.484243,
"AUT","GDP","TOT","USD_CAP","A","2000",29380.074816,
"AUT","GDP","TOT","USD_CAP","A","2001",29715.208017,
"AUT","GDP","TOT","USD_CAP","A","2002",31178.051444,
"AUT","GDP","TOT","USD_CAP","A","2003",32121.216514,
"AUT","GDP","TOT","USD_CAP","A","2004",33753.472389,
"AUT","GDP","TOT","USD_CAP","A","2005",35024.557484,
"AUT","GDP","TOT","USD_CAP","A","2006",37626.245494,
"AUT","GDP","TOT","USD_CAP","A","2007",39393.953567,
"AUT","GDP","TOT","USD_CAP","A","2008",41316.022642,
"AUT","GDP","TOT","USD_CAP","A","2009",40935.528801,
"AUT","GDP","TOT","USD_CAP","A","2010",42017.796539,
"AUT","GDP","TOT","USD_CAP","A","2011",44469.209642,
"AUT","GDP","TOT","USD_CAP","A","2012",46477.655075,
"AUT","GDP","TOT","USD_CAP","A","2013",47936.677963,
"AUT","GDP","TOT","USD_CAP","A","2014",48813.534409,
"AUT","GDP","TOT","USD_CAP","A","2015",49955.456118,
"AUT","GDP","TOT","USD_CAP","A","2016",51790.942027,
"AUT","GDP","TOT","USD_CAP","A","2017",53952.33384,
"AUT","GDP","TOT","USD_CAP","A","2018",55513.222069,
"BEL","GDP","TOT","USD_CAP","A","1998",24369.972528,
"BEL","GDP","TOT","USD_CAP","A","1999",25440.896241,
"BEL","GDP","TOT","USD_CAP","A","2000",27788.552657,
"BEL","GDP","TOT","USD_CAP","A","2001",28800.032579,
"BEL","GDP","TOT","USD_CAP","A","2002",30282.254116,
"BEL","GDP","TOT","USD_CAP","A","2003",30898.699618,
"BEL","GDP","TOT","USD_CAP","A","2004",32033.983077,
"BEL","GDP","TOT","USD_CAP","A","2005",33177.947339,
"BEL","GDP","TOT","USD_CAP","A","2006",35222.474358,
"BEL","GDP","TOT","USD_CAP","A","2007",36755.650522,
"BEL","GDP","TOT","USD_CAP","A","2008",37883.233422,
"BEL","GDP","TOT","USD_CAP","A","2009",37757.239173,
"BEL","GDP","TOT","USD_CAP","A","2010",39836.849331,
"BEL","GDP","TOT","USD_CAP","A","2011",41108.701911,
"BEL","GDP","TOT","USD_CAP","A","2012",42440.26234,
"BEL","GDP","TOT","USD_CAP","A","2013",43806.183952,
"BEL","GDP","TOT","USD_CAP","A","2014",45047.283733,
"BEL","GDP","TOT","USD_CAP","A","2015",46360.062536,
"BEL","GDP","TOT","USD_CAP","A","2016",48009.777277,
"BEL","GDP","TOT","USD_CAP","A","2017",50336.152395,
"BEL","GDP","TOT","USD_CAP","A","2018",51490.800223,
"CZE","GDP","TOT","USD_CAP","A","1998",14905.572895,
"CZE","GDP","TOT","USD_CAP","A","1999",15325.709916,
"CZE","GDP","TOT","USD_CAP","A","2000",16163.316985,
"CZE","GDP","TOT","USD_CAP","A","2001",17541.461572,
"CZE","GDP","TOT","USD_CAP","A","2002",18182.35455,
"CZE","GDP","TOT","USD_CAP","A","2003",19411.512796,
