"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","HHDI","NET","AGRWTH","A","1998",2.95986610399403,
"AUT","HHDI","NET","AGRWTH","A","1999",3.88790681812034,
"AUT","HHDI","NET","AGRWTH","A","2000",1.52317022455656,
"AUT","HHDI","NET","AGRWTH","A","2001",-0.437761164461041,
"AUT","HHDI","NET","AGRWTH","A","2002",1.36770122514373,
"AUT","HHDI","NET","AGRWTH","A","2003",1.93804438751979,
"AUT","HHDI","NET","AGRWTH","A","2004",1.75518456721141,
"AUT","HHDI","NET","AGRWTH","A","2005",3.82893992578123,
"AUT","HHDI","NET","AGRWTH","A","2006",2.82196738310819,
"AUT","HHDI","NET","AGRWTH","A","2007",2.37730710277949,
"AUT","HHDI","NET","AGRWTH","A","2008",1.24543970176001,
"AUT","HHDI","NET","AGRWTH","A","2009",-0.03471049800258,
"AUT","HHDI","NET","AGRWTH","A","2010",-0.686110083473299,
"AUT","HHDI","NET","AGRWTH","A","2011",-0.334935608912642,
"AUT","HHDI","NET","AGRWTH","A","2012",1.39447992770547,
"AUT","HHDI","NET","AGRWTH","A","2013",-1.38437562269925,
"AUT","HHDI","NET","AGRWTH","A","2014",0.832703028839532,
"AUT","HHDI","NET","AGRWTH","A","2015",-0.049780293657959,
"AUT","HHDI","NET","AGRWTH","A","2016",2.54480296858192,
"AUT","HHDI","NET","AGRWTH","A","2017",1.15528909935151,
"AUT","HHDI","NET","AGRWTH","A","2018",1.31951377786056,
"BEL","HHDI","NET","AGRWTH","A","1998",2.14723188319207,
"BEL","HHDI","NET","AGRWTH","A","1999",2.25100477201238,
"BEL","HHDI","NET","AGRWTH","A","2000",1.42680803673337,
"BEL","HHDI","NET","AGRWTH","A","2001",2.32081636354752,
"BEL","HHDI","NET","AGRWTH","A","2002",0.604388773972446,
"BEL","HHDI","NET","AGRWTH","A","2003",0.341521207042089,
"BEL","HHDI","NET","AGRWTH","A","2004",0.275881968345596,
"BEL","HHDI","NET","AGRWTH","A","2005",0.931724370982961,
"BEL","HHDI","NET","AGRWTH","A","2006",2.27397585358209,
"BEL","HHDI","NET","AGRWTH","A","2007",2.38417063726689,
"BEL","HHDI","NET","AGRWTH","A","2008",2.24070964533041,
"BEL","HHDI","NET","AGRWTH","A","2009",1.00797053289283,
"BEL","HHDI","NET","AGRWTH","A","2010",-0.555288044021518,
"BEL","HHDI","NET","AGRWTH","A","2011",0.305665429416179,
"BEL","HHDI","NET","AGRWTH","A","2012",0.85393221891623,
"BEL","HHDI","NET","AGRWTH","A","2013",0.35648797500398,
