"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"HUN","HHWEALTH","TOT","PC_NDI","A","1998",299.7534,
"HUN","HHWEALTH","TOT","PC_NDI","A","1999",319.5635,
"HUN","HHWEALTH","TOT","PC_NDI","A","2000",324.199,
"HUN","HHWEALTH","TOT","PC_NDI","A","2001",315.3867,
"HUN","HHWEALTH","TOT","PC_NDI","A","2002",307.3616,
"HUN","HHWEALTH","TOT","PC_NDI","A","2003",294.721,
"HUN","HHWEALTH","TOT","PC_NDI","A","2004",286.3355,
"HUN","HHWEALTH","TOT","PC_NDI","A","2005",287.9078,
"HUN","HHWEALTH","TOT","PC_NDI","A","2006",301.4397,
"HUN","HHWEALTH","TOT","PC_NDI","A","2007",313.9441,
"HUN","HHWEALTH","TOT","PC_NDI","A","2008",309.4794,
"HUN","HHWEALTH","TOT","PC_NDI","A","2009",333.4065,
"HUN","HHWEALTH","TOT","PC_NDI","A","2010",338.4092,
"HUN","HHWEALTH","TOT","PC_NDI","A","2011",326.3765,
"HUN","HHWEALTH","TOT","PC_NDI","A","2012",339.2932,
"HUN","HHWEALTH","TOT","PC_NDI","A","2013",343.7719,
"HUN","HHWEALTH","TOT","PC_NDI","A","2014",351.6019,
"HUN","HHWEALTH","TOT","PC_NDI","A","2015",374.1658,
"HUN","HHWEALTH","TOT","PC_NDI","A","2016",376.9964,
"SVK","HHWEALTH","TOT","PC_NDI","A","1998",312.0136,
"SVK","HHWEALTH","TOT","PC_NDI","A","1999",317.592,
"SVK","HHWEALTH","TOT","PC_NDI","A","2000",312.6452,
"SVK","HHWEALTH","TOT","PC_NDI","A","2001",303.1492,
"SVK","HHWEALTH","TOT","PC_NDI","A","2002",284.5428,
"SVK","HHWEALTH","TOT","PC_NDI","A","2003",274.189,
"SVK","HHWEALTH","TOT","PC_NDI","A","2004",256.5201,
"SVK","HHWEALTH","TOT","PC_NDI","A","2005",247.3103,
"SVK","HHWEALTH","TOT","PC_NDI","A","2006",244.5684,
"SVK","HHWEALTH","TOT","PC_NDI","A","2007",229.2161,
"SVK","HHWEALTH","TOT","PC_NDI","A","2008",222.8591,
"SVK","HHWEALTH","TOT","PC_NDI","A","2009",227.8442,
"SVK","HHWEALTH","TOT","PC_NDI","A","2010",229.6472,
"SVK","HHWEALTH","TOT","PC_NDI","A","2011",229.0874,
"SVK","HHWEALTH","TOT","PC_NDI","A","2012",224.6288,
"SVK","HHWEALTH","TOT","PC_NDI","A","2013",225.2997,
"SVK","HHWEALTH","TOT","PC_NDI","A","2014",230.0604,
"SVK","HHWEALTH","TOT","PC_NDI","A","2015",224.0251,
"SVK","HHWEALTH","TOT","PC_NDI","A","2016",226.1571,
"SVK","HHWEALTH","TOT","PC_NDI","A","2017",222.3351,
"EST","HHWEALTH","TOT","PC_NDI","A","1998",388.0301,
"EST","HHWEALTH","TOT","PC_NDI","A","1999",415.6491,
"EST","HHWEALTH","TOT","PC_NDI","A","2000",355.3332,
"EST","HHWEALTH","TOT","PC_NDI","A","2001",383.2147,
"EST","HHWEALTH","TOT","PC_NDI","A","2002",364.1667,
"EST","HHWEALTH","TOT","PC_NDI","A","2003",354.5055,
