"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","HHEXP","TOT","MLN_USD","A","1998",111903.514,
"AUT","HHEXP","TOT","MLN_USD","A","1999",114549.447,
"AUT","HHEXP","TOT","MLN_USD","A","2000",122759.1042,
"AUT","HHEXP","TOT","MLN_USD","A","2001",125173.7732,
"AUT","HHEXP","TOT","MLN_USD","A","2002",130389.127,
"AUT","HHEXP","TOT","MLN_USD","A","2003",136336.1706,
"AUT","HHEXP","TOT","MLN_USD","A","2004",143563.4304,
"AUT","HHEXP","TOT","MLN_USD","A","2005",149903.8941,
"AUT","HHEXP","TOT","MLN_USD","A","2006",160076.7664,
"AUT","HHEXP","TOT","MLN_USD","A","2007",164146.6024,
"AUT","HHEXP","TOT","MLN_USD","A","2008",171924.4594,
"AUT","HHEXP","TOT","MLN_USD","A","2009",175903.1835,
"AUT","HHEXP","TOT","MLN_USD","A","2010",181057.5234,
"AUT","HHEXP","TOT","MLN_USD","A","2011",191942.4901,
"AUT","HHEXP","TOT","MLN_USD","A","2012",201680.9001,
"AUT","HHEXP","TOT","MLN_USD","A","2013",209858.1664,
"AUT","HHEXP","TOT","MLN_USD","A","2014",213990.2364,
"AUT","HHEXP","TOT","MLN_USD","A","2015",217782.6278,
"AUT","HHEXP","TOT","MLN_USD","A","2016",227204.6045,
"AUT","HHEXP","TOT","MLN_USD","A","2017",237653.6387,
"AUT","HHEXP","TOT","MLN_USD","A","2018",243438.9978,
"BEL","HHEXP","TOT","MLN_USD","A","1998",129513.8665,
"BEL","HHEXP","TOT","MLN_USD","A","1999",133231.3356,
"BEL","HHEXP","TOT","MLN_USD","A","2000",146528.1647,
"BEL","HHEXP","TOT","MLN_USD","A","2001",152651.7478,
"BEL","HHEXP","TOT","MLN_USD","A","2002",158336.5889,
"BEL","HHEXP","TOT","MLN_USD","A","2003",161093.5465,
"BEL","HHEXP","TOT","MLN_USD","A","2004",164499.2359,
