"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","CPI","FOOD","AGRWTH","A","1998",1.93084,
"AUT","CPI","FOOD","AGRWTH","A","1999",-0.6324449,
"AUT","CPI","FOOD","AGRWTH","A","2000",0.6457393,
"AUT","CPI","FOOD","AGRWTH","A","2001",3.641667,
"AUT","CPI","FOOD","AGRWTH","A","2002",1.391011,
"AUT","CPI","FOOD","AGRWTH","A","2003",1.768438,
"AUT","CPI","FOOD","AGRWTH","A","2004",1.916933,
"AUT","CPI","FOOD","AGRWTH","A","2005",2.084429,
"AUT","CPI","FOOD","AGRWTH","A","2006",1.84136,
"AUT","CPI","FOOD","AGRWTH","A","2007",4.188824,
"AUT","CPI","FOOD","AGRWTH","A","2008",6.297605,
"AUT","CPI","FOOD","AGRWTH","A","2009",0.2068405,
"AUT","CPI","FOOD","AGRWTH","A","2010",0.4791743,
"AUT","CPI","FOOD","AGRWTH","A","2011",4.2696,
"AUT","CPI","FOOD","AGRWTH","A","2012",3.222196,
"AUT","CPI","FOOD","AGRWTH","A","2013",3.462432,
"AUT","CPI","FOOD","AGRWTH","A","2014",1.961518,
"AUT","CPI","FOOD","AGRWTH","A","2015",0.8257796,
"AUT","CPI","FOOD","AGRWTH","A","2016",0.7333333,
"AUT","CPI","FOOD","AGRWTH","A","2017",2.365983,
"BEL","CPI","FOOD","AGRWTH","A","1998",1.938696,
"BEL","CPI","FOOD","AGRWTH","A","1999",0.006460827,
"BEL","CPI","FOOD","AGRWTH","A","2000",0.8626872,
"BEL","CPI","FOOD","AGRWTH","A","2001",4.630305,
"BEL","CPI","FOOD","AGRWTH","A","2002",2.358835,
"BEL","CPI","FOOD","AGRWTH","A","2003",2.053307,
"BEL","CPI","FOOD","AGRWTH","A","2004",1.258395,
"BEL","CPI","FOOD","AGRWTH","A","2005",1.765368,
"BEL","CPI","FOOD","AGRWTH","A","2006",2.556108,
"BEL","CPI","FOOD","AGRWTH","A","2007",3.906927,
"BEL","CPI","FOOD","AGRWTH","A","2008",6.075796,
"BEL","CPI","FOOD","AGRWTH","A","2009",0.8468629,
"BEL","CPI","FOOD","AGRWTH","A","2010",1.660945,
"BEL","CPI","FOOD","AGRWTH","A","2011",2.720884,
"BEL","CPI","FOOD","AGRWTH","A","2012",3.100204,
"BEL","CPI","FOOD","AGRWTH","A","2013",3.421529,
"BEL","CPI","FOOD","AGRWTH","A","2014",-0.3758333,
"BEL","CPI","FOOD","AGRWTH","A","2015",1.202018,
"BEL","CPI","FOOD","AGRWTH","A","2016",2.240755,
"BEL","CPI","FOOD","AGRWTH","A","2017",1.260338,
"CZE","CPI","FOOD","AGRWTH","A","1998",4.423974,
"CZE","CPI","FOOD","AGRWTH","A","1999",-5.532564,
"CZE","CPI","FOOD","AGRWTH","A","2000",0.9914687,
"CZE","CPI","FOOD","AGRWTH","A","2001",5.068493,
"CZE","CPI","FOOD","AGRWTH","A","2002",-1.944807,
"CZE","CPI","FOOD","AGRWTH","A","2003",-2.182826,
"CZE","CPI","FOOD","AGRWTH","A","2004",3.409606,
"CZE","CPI","FOOD","AGRWTH","A","2005",-0.2519444,
"CZE","CPI","FOOD","AGRWTH","A","2006",0.8565781,
"CZE","CPI","FOOD","AGRWTH","A","2007",4.736498,
"CZE","CPI","FOOD","AGRWTH","A","2008",8.108951,
"CZE","CPI","FOOD","AGRWTH","A","2009",-3.971536,
"CZE","CPI","FOOD","AGRWTH","A","2010",1.472061,
"CZE","CPI","FOOD","AGRWTH","A","2011",4.628442,
"CZE","CPI","FOOD","AGRWTH","A","2012",6.91379,
"CZE","CPI","FOOD","AGRWTH","A","2013",4.913983,
"CZE","CPI","FOOD","AGRWTH","A","2014",2.018163,
"CZE","CPI","FOOD","AGRWTH","A","2015",-1.104517,
"CZE","CPI","FOOD","AGRWTH","A","2016",-0.9334889,
"CZE","CPI","FOOD","AGRWTH","A","2017",5.182568,
"DNK","CPI","FOOD","AGRWTH","A","1998",2.070743,
"DNK","CPI","FOOD","AGRWTH","A","1999",0.6660862,
"DNK","CPI","FOOD","AGRWTH","A","2000",2.540664,
"DNK","CPI","FOOD","AGRWTH","A","2001",3.855773,
"DNK","CPI","FOOD","AGRWTH","A","2002",2.183121,
"DNK","CPI","FOOD","AGRWTH","A","2003",1.42432,
"DNK","CPI","FOOD","AGRWTH","A","2004",-1.016558,
"DNK","CPI","FOOD","AGRWTH","A","2005",0.6458443,
"DNK","CPI","FOOD","AGRWTH","A","2006",2.724595,
"DNK","CPI","FOOD","AGRWTH","A","2007",4.464926,
"DNK","CPI","FOOD","AGRWTH","A","2008",7.567885,
"DNK","CPI","FOOD","AGRWTH","A","2009",-0.09113278,
"DNK","CPI","FOOD","AGRWTH","A","2010",0.3739852,
"DNK","CPI","FOOD","AGRWTH","A","2011",3.962196,
"DNK","CPI","FOOD","AGRWTH","A","2012",4.291958,
"DNK","CPI","FOOD","AGRWTH","A","2013",0.4274579,
"DNK","CPI","FOOD","AGRWTH","A","2014",-0.8679686,
"DNK","CPI","FOOD","AGRWTH","A","2015",1.035528,
"DNK","CPI","FOOD","AGRWTH","A","2016",0.09999166,
"DNK","CPI","FOOD","AGRWTH","A","2017",2.805294,
"FIN","CPI","FOOD","AGRWTH","A","1998",1.94411,
"FIN","CPI","FOOD","AGRWTH","A","1999",-0.02890699,
"FIN","CPI","FOOD","AGRWTH","A","2000",1.066889,
"FIN","CPI","FOOD","AGRWTH","A","2001",4.429388,
"FIN","CPI","FOOD","AGRWTH","A","2002",2.879282,
"FIN","CPI","FOOD","AGRWTH","A","2003",0.5996106,
"FIN","CPI","FOOD","AGRWTH","A","2004",0.776467,
"FIN","CPI","FOOD","AGRWTH","A","2005",0.5655746,
"FIN","CPI","FOOD","AGRWTH","A","2006",1.36839,
"FIN","CPI","FOOD","AGRWTH","A","2007",2.070094,
"FIN","CPI","FOOD","AGRWTH","A","2008",8.597318,
"FIN","CPI","FOOD","AGRWTH","A","2009",2.020337,
"FIN","CPI","FOOD","AGRWTH","A","2010",-3.418234,
"FIN","CPI","FOOD","AGRWTH","A","2011",6.282866,
"FIN","CPI","FOOD","AGRWTH","A","2012",5.159489,
"FIN","CPI","FOOD","AGRWTH","A","2013",5.33733,
"FIN","CPI","FOOD","AGRWTH","A","2014",0.1507751,
"FIN","CPI","FOOD","AGRWTH","A","2015",-1.869436,
"FIN","CPI","FOOD","AGRWTH","A","2016",-1.145881,
"FIN","CPI","FOOD","AGRWTH","A","2017",-0.9146855,
"FRA","CPI","FOOD","AGRWTH","A","1998",1.699704,
"FRA","CPI","FOOD","AGRWTH","A","1999",0.4310535,
"FRA","CPI","FOOD","AGRWTH","A","2000",2.200902,
"FRA","CPI","FOOD","AGRWTH","A","2001",5.516412,
"FRA","CPI","FOOD","AGRWTH","A","2002",2.729031,
"FRA","CPI","FOOD","AGRWTH","A","2003",2.27901,
"FRA","CPI","FOOD","AGRWTH","A","2004",0.4863352,
"FRA","CPI","FOOD","AGRWTH","A","2005",0.1571493,
"FRA","CPI","FOOD","AGRWTH","A","2006",1.67395,
"FRA","CPI","FOOD","AGRWTH","A","2007",1.451361,
"FRA","CPI","FOOD","AGRWTH","A","2008",5.064484,
"FRA","CPI","FOOD","AGRWTH","A","2009",0.07816317,
"FRA","CPI","FOOD","AGRWTH","A","2010",0.7845713,
"FRA","CPI","FOOD","AGRWTH","A","2011",1.986668,
"FRA","CPI","FOOD","AGRWTH","A","2012",2.88914,
"FRA","CPI","FOOD","AGRWTH","A","2013",1.149724,
"FRA","CPI","FOOD","AGRWTH","A","2014",-0.8388023,
"FRA","CPI","FOOD","AGRWTH","A","2015",0.4032865,
"FRA","CPI","FOOD","AGRWTH","A","2016",0.5541667,
"FRA","CPI","FOOD","AGRWTH","A","2017",1.087308,
"DEU","CPI","FOOD","AGRWTH","A","1998",1.039743,
"DEU","CPI","FOOD","AGRWTH","A","1999",-1.288709,
"DEU","CPI","FOOD","AGRWTH","A","2000",-0.6917381,
"DEU","CPI","FOOD","AGRWTH","A","2001",4.454037,
"DEU","CPI","FOOD","AGRWTH","A","2002",0.8453085,
"DEU","CPI","FOOD","AGRWTH","A","2003",-0.1490174,
"DEU","CPI","FOOD","AGRWTH","A","2004",-0.3357896,
"DEU","CPI","FOOD","AGRWTH","A","2005",0.05615349,
"DEU","CPI","FOOD","AGRWTH","A","2006",2.029745,
"DEU","CPI","FOOD","AGRWTH","A","2007",3.79538,
"DEU","CPI","FOOD","AGRWTH","A","2008",6.076665,
"DEU","CPI","FOOD","AGRWTH","A","2009",-1.307244,
"DEU","CPI","FOOD","AGRWTH","A","2010",1.248629,
"DEU","CPI","FOOD","AGRWTH","A","2011",2.758104,
"DEU","CPI","FOOD","AGRWTH","A","2012",3.405774,
"DEU","CPI","FOOD","AGRWTH","A","2013",3.858218,
"DEU","CPI","FOOD","AGRWTH","A","2014",1.034431,
"DEU","CPI","FOOD","AGRWTH","A","2015",0.5961033,
"DEU","CPI","FOOD","AGRWTH","A","2016",0.8083333,
"DEU","CPI","FOOD","AGRWTH","A","2017",2.761015,
"GRC","CPI","FOOD","AGRWTH","A","1998",4.392682,
"GRC","CPI","FOOD","AGRWTH","A","1999",2.394328,
