"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","CPI","TOT","AGRWTH","A","1998",0.9224669,
"AUT","CPI","TOT","AGRWTH","A","1999",0.5689865,
"AUT","CPI","TOT","AGRWTH","A","2000",2.344868,
"AUT","CPI","TOT","AGRWTH","A","2001",2.65,
"AUT","CPI","TOT","AGRWTH","A","2002",1.810359,
"AUT","CPI","TOT","AGRWTH","A","2003",1.355554,
"AUT","CPI","TOT","AGRWTH","A","2004",2.061207,
"AUT","CPI","TOT","AGRWTH","A","2005",2.299138,
"AUT","CPI","TOT","AGRWTH","A","2006",1.441547,
"AUT","CPI","TOT","AGRWTH","A","2007",2.168556,
"AUT","CPI","TOT","AGRWTH","A","2008",3.215951,
"AUT","CPI","TOT","AGRWTH","A","2009",0.5063094,
"AUT","CPI","TOT","AGRWTH","A","2010",1.813532,
"AUT","CPI","TOT","AGRWTH","A","2011",3.286583,
"AUT","CPI","TOT","AGRWTH","A","2012",2.485675,
"AUT","CPI","TOT","AGRWTH","A","2013",2.000158,
"AUT","CPI","TOT","AGRWTH","A","2014",1.605806,
"AUT","CPI","TOT","AGRWTH","A","2015",0.8965653,
"AUT","CPI","TOT","AGRWTH","A","2016",0.8915924,
"AUT","CPI","TOT","AGRWTH","A","2017",2.081269,
"BEL","CPI","TOT","AGRWTH","A","1998",0.9492503,
"BEL","CPI","TOT","AGRWTH","A","1999",1.120848,
"BEL","CPI","TOT","AGRWTH","A","2000",2.544518,
"BEL","CPI","TOT","AGRWTH","A","2001",2.469258,
"BEL","CPI","TOT","AGRWTH","A","2002",1.645214,
"BEL","CPI","TOT","AGRWTH","A","2003",1.588964,
"BEL","CPI","TOT","AGRWTH","A","2004",2.097283,
"BEL","CPI","TOT","AGRWTH","A","2005",2.781433,
"BEL","CPI","TOT","AGRWTH","A","2006",1.791208,
"BEL","CPI","TOT","AGRWTH","A","2007",1.823056,
"BEL","CPI","TOT","AGRWTH","A","2008",4.489444,
"BEL","CPI","TOT","AGRWTH","A","2009",-0.05314567,
"BEL","CPI","TOT","AGRWTH","A","2010",2.189299,
"BEL","CPI","TOT","AGRWTH","A","2011",3.532082,
"BEL","CPI","TOT","AGRWTH","A","2012",2.839664,
"BEL","CPI","TOT","AGRWTH","A","2013",1.113096,
"BEL","CPI","TOT","AGRWTH","A","2014",0.3400028,
"BEL","CPI","TOT","AGRWTH","A","2015",0.5614291,
"BEL","CPI","TOT","AGRWTH","A","2016",1.973853,
"BEL","CPI","TOT","AGRWTH","A","2017",2.125971,
"CZE","CPI","TOT","AGRWTH","A","1998",10.69837,
"CZE","CPI","TOT","AGRWTH","A","1999",2.135448,
"CZE","CPI","TOT","AGRWTH","A","2000",3.775388,
"CZE","CPI","TOT","AGRWTH","A","2001",4.662675,
"CZE","CPI","TOT","AGRWTH","A","2002",1.902981,
"CZE","CPI","TOT","AGRWTH","A","2003",0.1187392,
"CZE","CPI","TOT","AGRWTH","A","2004",2.760108,
"CZE","CPI","TOT","AGRWTH","A","2005",1.857098,
"CZE","CPI","TOT","AGRWTH","A","2006",2.533993,
"CZE","CPI","TOT","AGRWTH","A","2007",2.853124,
"CZE","CPI","TOT","AGRWTH","A","2008",6.358664,
"CZE","CPI","TOT","AGRWTH","A","2009",1.019377,
"CZE","CPI","TOT","AGRWTH","A","2010",1.472727,
"CZE","CPI","TOT","AGRWTH","A","2011",1.917219,
"CZE","CPI","TOT","AGRWTH","A","2012",3.287623,
"CZE","CPI","TOT","AGRWTH","A","2013",1.438298,
"CZE","CPI","TOT","AGRWTH","A","2014",0.3439886,
"CZE","CPI","TOT","AGRWTH","A","2015",0.3093646,
"CZE","CPI","TOT","AGRWTH","A","2016",0.6835042,
"CZE","CPI","TOT","AGRWTH","A","2017",2.450534,
"DNK","CPI","TOT","AGRWTH","A","1998",1.845651,
"DNK","CPI","TOT","AGRWTH","A","1999",2.497795,
"DNK","CPI","TOT","AGRWTH","A","2000",2.903277,
"DNK","CPI","TOT","AGRWTH","A","2001",2.337875,
"DNK","CPI","TOT","AGRWTH","A","2002",2.424437,
"DNK","CPI","TOT","AGRWTH","A","2003",2.075078,
"DNK","CPI","TOT","AGRWTH","A","2004",1.154357,
"DNK","CPI","TOT","AGRWTH","A","2005",1.817815,
"DNK","CPI","TOT","AGRWTH","A","2006",1.924221,
"DNK","CPI","TOT","AGRWTH","A","2007",1.693266,
"DNK","CPI","TOT","AGRWTH","A","2008",3.416268,
"DNK","CPI","TOT","AGRWTH","A","2009",1.30471,
"DNK","CPI","TOT","AGRWTH","A","2010",2.310924,
"DNK","CPI","TOT","AGRWTH","A","2011",2.758682,
"DNK","CPI","TOT","AGRWTH","A","2012",2.397915,
"DNK","CPI","TOT","AGRWTH","A","2013",0.7890718,
"DNK","CPI","TOT","AGRWTH","A","2014",0.5640205,
"DNK","CPI","TOT","AGRWTH","A","2015",0.4520341,
"DNK","CPI","TOT","AGRWTH","A","2016",0.25,
