"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","UNEMPEDU","TRY","PC_25_64","A","2004",3.2861626,
"AUT","UNEMPEDU","TRY","PC_25_64","A","2005",2.9522088,
"AUT","UNEMPEDU","TRY","PC_25_64","A","2006",2.8467238,
"AUT","UNEMPEDU","TRY","PC_25_64","A","2007",2.5788171,
"AUT","UNEMPEDU","TRY","PC_25_64","A","2008",2.1091042,
"AUT","UNEMPEDU","TRY","PC_25_64","A","2009",2.7154391,
"AUT","UNEMPEDU","TRY","PC_25_64","A","2010",2.8150249,
"AUT","UNEMPEDU","TRY","PC_25_64","A","2011",2.6583915,
"AUT","UNEMPEDU","TRY","PC_25_64","A","2012",2.7895076,
"AUT","UNEMPEDU","TRY","PC_25_64","A","2013",3.4869184,
"AUT","UNEMPEDU","TRY","PC_25_64","A","2014",3.7369502,
"AUT","UNEMPEDU","TRY","PC_25_64","A","2015",3.5914114,
"AUT","UNEMPEDU","TRY","PC_25_64","A","2016",3.4075601,
"AUT","UNEMPEDU","TRY","PC_25_64","A","2017",2.9824064,
"AUT","UNEMPEDU","TRY","PC_25_64","A","2018",2.9675856,
"BEL","UNEMPEDU","TRY","PC_25_64","A","2000",2.6897163,
"BEL","UNEMPEDU","TRY","PC_25_64","A","2001",2.7371566,
"BEL","UNEMPEDU","TRY","PC_25_64","A","2002",3.4992728,
"BEL","UNEMPEDU","TRY","PC_25_64","A","2003",3.5410795,
"BEL","UNEMPEDU","TRY","PC_25_64","A","2004",3.8578157,
"BEL","UNEMPEDU","TRY","PC_25_64","A","2005",3.7240489,
"BEL","UNEMPEDU","TRY","PC_25_64","A","2006",3.7447767,
"BEL","UNEMPEDU","TRY","PC_25_64","A","2007",3.296278,
"BEL","UNEMPEDU","TRY","PC_25_64","A","2008",3.1748703,
"BEL","UNEMPEDU","TRY","PC_25_64","A","2009",3.7978325,
"BEL","UNEMPEDU","TRY","PC_25_64","A","2010",4.0182867,
"BEL","UNEMPEDU","TRY","PC_25_64","A","2011",3.3865616,
"BEL","UNEMPEDU","TRY","PC_25_64","A","2012",3.4334509,
"BEL","UNEMPEDU","TRY","PC_25_64","A","2013",4.2597585,
"BEL","UNEMPEDU","TRY","PC_25_64","A","2014",4.1812348,
"BEL","UNEMPEDU","TRY","PC_25_64","A","2015",4.1076717,
"BEL","UNEMPEDU","TRY","PC_25_64","A","2016",3.7356656,
"BEL","UNEMPEDU","TRY","PC_25_64","A","2017",3.8462749,
"BEL","UNEMPEDU","TRY","PC_25_64","A","2018",3.1575096,
"CZE","UNEMPEDU","TRY","PC_25_64","A","1998",1.9018933,
"CZE","UNEMPEDU","TRY","PC_25_64","A","1999",2.6290987,
"CZE","UNEMPEDU","TRY","PC_25_64","A","2000",2.454072,
"CZE","UNEMPEDU","TRY","PC_25_64","A","2001",2.0194867,
"CZE","UNEMPEDU","TRY","PC_25_64","A","2002",1.8340019,
"CZE","UNEMPEDU","TRY","PC_25_64","A","2003",1.9802461,
"CZE","UNEMPEDU","TRY","PC_25_64","A","2004",1.9689621,
"CZE","UNEMPEDU","TRY","PC_25_64","A","2005",1.9811507,
"CZE","UNEMPEDU","TRY","PC_25_64","A","2006",2.1878841,
"CZE","UNEMPEDU","TRY","PC_25_64","A","2007",1.5420953,
"CZE","UNEMPEDU","TRY","PC_25_64","A","2008",1.5310417,
"CZE","UNEMPEDU","TRY","PC_25_64","A","2009",2.192657,
"CZE","UNEMPEDU","TRY","PC_25_64","A","2010",2.51881,
"CZE","UNEMPEDU","TRY","PC_25_64","A","2011",2.6196334,
"CZE","UNEMPEDU","TRY","PC_25_64","A","2012",2.6498091,
"CZE","UNEMPEDU","TRY","PC_25_64","A","2013",2.4674573,
"CZE","UNEMPEDU","TRY","PC_25_64","A","2014",2.6161895,
"CZE","UNEMPEDU","TRY","PC_25_64","A","2015",2.2015543,
"CZE","UNEMPEDU","TRY","PC_25_64","A","2016",1.8071283,
"CZE","UNEMPEDU","TRY","PC_25_64","A","2017",1.4016052,
"CZE","UNEMPEDU","TRY","PC_25_64","A","2018",1.1391273,
"DNK","UNEMPEDU","TRY","PC_25_64","A","1998",3.265254,
"DNK","UNEMPEDU","TRY","PC_25_64","A","1999",3.0455122,
"DNK","UNEMPEDU","TRY","PC_25_64","A","2000",2.6362841,
"DNK","UNEMPEDU","TRY","PC_25_64","A","2001",3.6179862,
"DNK","UNEMPEDU","TRY","PC_25_64","A","2002",3.8520782,
"DNK","UNEMPEDU","TRY","PC_25_64","A","2003",4.6932368,
"DNK","UNEMPEDU","TRY","PC_25_64","A","2004",4.3788753,
"DNK","UNEMPEDU","TRY","PC_25_64","A","2005",3.6834712,
"DNK","UNEMPEDU","TRY","PC_25_64","A","2006",3.1686494,
"DNK","UNEMPEDU","TRY","PC_25_64","A","2007",3.0090034,
"DNK","UNEMPEDU","TRY","PC_25_64","A","2008",2.2244749,
"DNK","UNEMPEDU","TRY","PC_25_64","A","2009",3.6894133,
"DNK","UNEMPEDU","TRY","PC_25_64","A","2010",4.6045723,
"DNK","UNEMPEDU","TRY","PC_25_64","A","2011",5.0434723,
"DNK","UNEMPEDU","TRY","PC_25_64","A","2012",4.651083,
"DNK","UNEMPEDU","TRY","PC_25_64","A","2013",4.5860291,
"DNK","UNEMPEDU","TRY","PC_25_64","A","2014",4.4019876,
"DNK","UNEMPEDU","TRY","PC_25_64","A","2015",4.7517195,
"DNK","UNEMPEDU","TRY","PC_25_64","A","2016",4.8692675,
"DNK","UNEMPEDU","TRY","PC_25_64","A","2017",4.616333,
"DNK","UNEMPEDU","TRY","PC_25_64","A","2018",3.8744249,
"FIN","UNEMPEDU","TRY","PC_25_64","A","2000",4.8833389,
"FIN","UNEMPEDU","TRY","PC_25_64","A","2003",4.0630808,
"FIN","UNEMPEDU","TRY","PC_25_64","A","2004",4.5386581,
"FIN","UNEMPEDU","TRY","PC_25_64","A","2005",4.4204888,
"FIN","UNEMPEDU","TRY","PC_25_64","A","2006",3.6582665,
"FIN","UNEMPEDU","TRY","PC_25_64","A","2007",3.5692747,
"FIN","UNEMPEDU","TRY","PC_25_64","A","2008",3.2704525,
"FIN","UNEMPEDU","TRY","PC_25_64","A","2009",4.036056,
"FIN","UNEMPEDU","TRY","PC_25_64","A","2010",4.4128857,
"FIN","UNEMPEDU","TRY","PC_25_64","A","2011",3.9560051,
"FIN","UNEMPEDU","TRY","PC_25_64","A","2012",3.8990486,
"FIN","UNEMPEDU","TRY","PC_25_64","A","2013",4.4539351,
"FIN","UNEMPEDU","TRY","PC_25_64","A","2014",5.0572362,
"FIN","UNEMPEDU","TRY","PC_25_64","A","2015",6.3945141,
"FIN","UNEMPEDU","TRY","PC_25_64","A","2016",5.4205608,
"FIN","UNEMPEDU","TRY","PC_25_64","A","2017",4.9225159,
"FIN","UNEMPEDU","TRY","PC_25_64","A","2018",4.1592922,
"FRA","UNEMPEDU","TRY","PC_25_64","A","1998",6.5684142,
"FRA","UNEMPEDU","TRY","PC_25_64","A","1999",6.1496105,
"FRA","UNEMPEDU","TRY","PC_25_64","A","2000",5.1030154,
"FRA","UNEMPEDU","TRY","PC_25_64","A","2001",4.7567325,
"FRA","UNEMPEDU","TRY","PC_25_64","A","2002",5.2220836,
"FRA","UNEMPEDU","TRY","PC_25_64","A","2003",5.2702394,
"FRA","UNEMPEDU","TRY","PC_25_64","A","2004",5.6761255,
"FRA","UNEMPEDU","TRY","PC_25_64","A","2005",5.4021859,
"FRA","UNEMPEDU","TRY","PC_25_64","A","2006",5.1041336,
"FRA","UNEMPEDU","TRY","PC_25_64","A","2007",4.7473693,
"FRA","UNEMPEDU","TRY","PC_25_64","A","2008",4.0392294,
"FRA","UNEMPEDU","TRY","PC_25_64","A","2009",5.0147419,
"FRA","UNEMPEDU","TRY","PC_25_64","A","2010",4.934361,
"FRA","UNEMPEDU","TRY","PC_25_64","A","2011",4.8733468,
"FRA","UNEMPEDU","TRY","PC_25_64","A","2012",5.0783129,
"FRA","UNEMPEDU","TRY","PC_25_64","A","2013",5.257082,
"FRA","UNEMPEDU","TRY","PC_25_64","A","2014",5.745903,
"FRA","UNEMPEDU","TRY","PC_25_64","A","2015",5.7000403,
"FRA","UNEMPEDU","TRY","PC_25_64","A","2016",5.0599513,
"FRA","UNEMPEDU","TRY","PC_25_64","A","2017",4.7257986,
"FRA","UNEMPEDU","TRY","PC_25_64","A","2018",5.0255108,
"DEU","UNEMPEDU","TRY","PC_25_64","A","1998",5.4587955,
"DEU","UNEMPEDU","TRY","PC_25_64","A","1999",4.9092131,
"DEU","UNEMPEDU","TRY","PC_25_64","A","2000",3.9763207,
"DEU","UNEMPEDU","TRY","PC_25_64","A","2001",4.2310276,
"DEU","UNEMPEDU","TRY","PC_25_64","A","2002",4.496244,
"DEU","UNEMPEDU","TRY","PC_25_64","A","2003",5.1918244,
"DEU","UNEMPEDU","TRY","PC_25_64","A","2004",5.5496602,
"DEU","UNEMPEDU","TRY","PC_25_64","A","2005",5.5658817,
"DEU","UNEMPEDU","TRY","PC_25_64","A","2006",4.8133388,
"DEU","UNEMPEDU","TRY","PC_25_64","A","2007",3.8356545,
"DEU","UNEMPEDU","TRY","PC_25_64","A","2008",3.3106675,
"DEU","UNEMPEDU","TRY","PC_25_64","A","2009",3.4052653,
"DEU","UNEMPEDU","TRY","PC_25_64","A","2010",3.0885527,
"DEU","UNEMPEDU","TRY","PC_25_64","A","2011",2.4441407,
"DEU","UNEMPEDU","TRY","PC_25_64","A","2012",2.3532271,
"DEU","UNEMPEDU","TRY","PC_25_64","A","2013",2.4270005,
"DEU","UNEMPEDU","TRY","PC_25_64","A","2014",2.4800949,
"DEU","UNEMPEDU","TRY","PC_25_64","A","2015",2.3265731,
"DEU","UNEMPEDU","TRY","PC_25_64","A","2016",2.2083173,
"DEU","UNEMPEDU","TRY","PC_25_64","A","2017",1.9815251,
"DEU","UNEMPEDU","TRY","PC_25_64","A","2018",1.8697213,
"GRC","UNEMPEDU","TRY","PC_25_64","A","1998",6.7525082,
"GRC","UNEMPEDU","TRY","PC_25_64","A","1999",7.9966469,
"GRC","UNEMPEDU","TRY","PC_25_64","A","2000",7.4858336,
"GRC","UNEMPEDU","TRY","PC_25_64","A","2001",7.1933851,
"GRC","UNEMPEDU","TRY","PC_25_64","A","2002",6.80618,
"GRC","UNEMPEDU","TRY","PC_25_64","A","2003",6.5391226,
"GRC","UNEMPEDU","TRY","PC_25_64","A","2004",7.441535,
"GRC","UNEMPEDU","TRY","PC_25_64","A","2005",7.1593542,
"GRC","UNEMPEDU","TRY","PC_25_64","A","2006",6.32586,
"GRC","UNEMPEDU","TRY","PC_25_64","A","2007",6.1515417,
"GRC","UNEMPEDU","TRY","PC_25_64","A","2008",5.7893844,
"GRC","UNEMPEDU","TRY","PC_25_64","A","2009",6.7839961,
"GRC","UNEMPEDU","TRY","PC_25_64","A","2010",8.8622742,
"GRC","UNEMPEDU","TRY","PC_25_64","A","2011",13.002306,
"GRC","UNEMPEDU","TRY","PC_25_64","A","2012",17.180029,
"GRC","UNEMPEDU","TRY","PC_25_64","A","2013",19.409077,
"GRC","UNEMPEDU","TRY","PC_25_64","A","2014",19.06674,
"GRC","UNEMPEDU","TRY","PC_25_64","A","2015",19.004271,
"GRC","UNEMPEDU","TRY","PC_25_64","A","2016",17.229668,
"GRC","UNEMPEDU","TRY","PC_25_64","A","2017",15.651299,
"GRC","UNEMPEDU","TRY","PC_25_64","A","2018",13.682021,
"HUN","UNEMPEDU","TRY","PC_25_64","A","1998",1.7307919,
"HUN","UNEMPEDU","TRY","PC_25_64","A","1999",1.2879173,
"HUN","UNEMPEDU","TRY","PC_25_64","A","2000",1.2581756,
"HUN","UNEMPEDU","TRY","PC_25_64","A","2001",1.1953596,
"HUN","UNEMPEDU","TRY","PC_25_64","A","2002",1.5291822,
"HUN","UNEMPEDU","TRY","PC_25_64","A","2003",1.4001008,
"HUN","UNEMPEDU","TRY","PC_25_64","A","2004",1.9314122,
"HUN","UNEMPEDU","TRY","PC_25_64","A","2005",2.2918766,
"HUN","UNEMPEDU","TRY","PC_25_64","A","2006",2.2426958,
"HUN","UNEMPEDU","TRY","PC_25_64","A","2007",2.5564823,
"HUN","UNEMPEDU","TRY","PC_25_64","A","2008",2.3102057,
"HUN","UNEMPEDU","TRY","PC_25_64","A","2009",3.5216153,
"HUN","UNEMPEDU","TRY","PC_25_64","A","2010",4.1301546,
"HUN","UNEMPEDU","TRY","PC_25_64","A","2011",3.9351821,
"HUN","UNEMPEDU","TRY","PC_25_64","A","2012",4.0161648,
"HUN","UNEMPEDU","TRY","PC_25_64","A","2013",3.6346204,
"HUN","UNEMPEDU","TRY","PC_25_64","A","2014",2.6780956,
"HUN","UNEMPEDU","TRY","PC_25_64","A","2015",2.1744926,
"HUN","UNEMPEDU","TRY","PC_25_64","A","2016",1.6791182,
"HUN","UNEMPEDU","TRY","PC_25_64","A","2017",1.4652317,
"HUN","UNEMPEDU","TRY","PC_25_64","A","2018",1.3436961,
"IRL","UNEMPEDU","TRY","PC_25_64","A","2000",1.6197194,
"IRL","UNEMPEDU","TRY","PC_25_64","A","2001",1.7508328,
"IRL","UNEMPEDU","TRY","PC_25_64","A","2002",2.1966941,
"IRL","UNEMPEDU","TRY","PC_25_64","A","2003",2.5574846,
"IRL","UNEMPEDU","TRY","PC_25_64","A","2004",2.1925611,
"IRL","UNEMPEDU","TRY","PC_25_64","A","2005",1.9507903,
"IRL","UNEMPEDU","TRY","PC_25_64","A","2006",2.3631411,
"IRL","UNEMPEDU","TRY","PC_25_64","A","2007",2.4133847,
"IRL","UNEMPEDU","TRY","PC_25_64","A","2008",3.0020967,
"IRL","UNEMPEDU","TRY","PC_25_64","A","2009",6.1946521,
"IRL","UNEMPEDU","TRY","PC_25_64","A","2010",7.0486083,
"IRL","UNEMPEDU","TRY","PC_25_64","A","2011",7.2203827,
"IRL","UNEMPEDU","TRY","PC_25_64","A","2012",7.0058346,
"IRL","UNEMPEDU","TRY","PC_25_64","A","2013",6.7118807,
"IRL","UNEMPEDU","TRY","PC_25_64","A","2014",6.0577869,
"IRL","UNEMPEDU","TRY","PC_25_64","A","2015",5.1365633,
"IRL","UNEMPEDU","TRY","PC_25_64","A","2017",3.7408261,
"IRL","UNEMPEDU","TRY","PC_25_64","A","2018",3.5211744,
"ITA","UNEMPEDU","TRY","PC_25_64","A","1998",6.8765655,
"ITA","UNEMPEDU","TRY","PC_25_64","A","1999",6.8877769,
"ITA","UNEMPEDU","TRY","PC_25_64","A","2000",5.9101748,
"ITA","UNEMPEDU","TRY","PC_25_64","A","2001",5.3439779,
"ITA","UNEMPEDU","TRY","PC_25_64","A","2002",5.2936134,
"ITA","UNEMPEDU","TRY","PC_25_64","A","2003",5.3186378,
"ITA","UNEMPEDU","TRY","PC_25_64","A","2004",5.2660365,
"ITA","UNEMPEDU","TRY","PC_25_64","A","2005",5.7001767,
"ITA","UNEMPEDU","TRY","PC_25_64","A","2006",4.8409724,
"ITA","UNEMPEDU","TRY","PC_25_64","A","2007",4.1798005,
"ITA","UNEMPEDU","TRY","PC_25_64","A","2008",4.2695446,
"ITA","UNEMPEDU","TRY","PC_25_64","A","2009",5.1168303,
"ITA","UNEMPEDU","TRY","PC_25_64","A","2010",5.5600028,
"ITA","UNEMPEDU","TRY","PC_25_64","A","2011",5.1564121,
"ITA","UNEMPEDU","TRY","PC_25_64","A","2012",6.3648949,
"ITA","UNEMPEDU","TRY","PC_25_64","A","2013",7.0211954,
"ITA","UNEMPEDU","TRY","PC_25_64","A","2014",7.5626769,
"ITA","UNEMPEDU","TRY","PC_25_64","A","2015",6.8218956,
"ITA","UNEMPEDU","TRY","PC_25_64","A","2016",6.5583634,
"ITA","UNEMPEDU","TRY","PC_25_64","A","2017",6.146841,
"ITA","UNEMPEDU","TRY","PC_25_64","A","2018",5.7681146,
"LUX","UNEMPEDU","TRY","PC_25_64","A","2000",0.99350363,
"LUX","UNEMPEDU","TRY","PC_25_64","A","2005",3.2053473,
"LUX","UNEMPEDU","TRY","PC_25_64","A","2006",2.8504755,
"LUX","UNEMPEDU","TRY","PC_25_64","A","2007",2.9793344,
"LUX","UNEMPEDU","TRY","PC_25_64","A","2008",2.2393258,
"LUX","UNEMPEDU","TRY","PC_25_64","A","2009",3.7468755,
"LUX","UNEMPEDU","TRY","PC_25_64","A","2010",3.5640669,
"LUX","UNEMPEDU","TRY","PC_25_64","A","2011",3.5323641,
"LUX","UNEMPEDU","TRY","PC_25_64","A","2012",3.3639522,
"LUX","UNEMPEDU","TRY","PC_25_64","A","2013",3.6945424,
"LUX","UNEMPEDU","TRY","PC_25_64","A","2014",3.641315,
"LUX","UNEMPEDU","TRY","PC_25_64","A","2015",4.5682349,
"LUX","UNEMPEDU","TRY","PC_25_64","A","2016",3.7709091,
"LUX","UNEMPEDU","TRY","PC_25_64","A","2017",3.7603486,
"LUX","UNEMPEDU","TRY","PC_25_64","A","2018",4.0543752,
"NLD","UNEMPEDU","TRY","PC_25_64","A","2000",1.9459749,
"NLD","UNEMPEDU","TRY","PC_25_64","A","2001",1.2168142,
"NLD","UNEMPEDU","TRY","PC_25_64","A","2002",2.0673265,
"NLD","UNEMPEDU","TRY","PC_25_64","A","2003",2.4762185,
"NLD","UNEMPEDU","TRY","PC_25_64","A","2004",2.8278985,
"NLD","UNEMPEDU","TRY","PC_25_64","A","2005",2.8317764,
"NLD","UNEMPEDU","TRY","PC_25_64","A","2006",2.3199317,
"NLD","UNEMPEDU","TRY","PC_25_64","A","2007",1.7711973,
"NLD","UNEMPEDU","TRY","PC_25_64","A","2008",1.5696218,
"NLD","UNEMPEDU","TRY","PC_25_64","A","2009",2.0014505,
"NLD","UNEMPEDU","TRY","PC_25_64","A","2010",2.2771132,
"NLD","UNEMPEDU","TRY","PC_25_64","A","2011",2.5460243,
"NLD","UNEMPEDU","TRY","PC_25_64","A","2012",3.0221496,
"NLD","UNEMPEDU","TRY","PC_25_64","A","2013",3.7009223,
"NLD","UNEMPEDU","TRY","PC_25_64","A","2014",3.8511949,
"NLD","UNEMPEDU","TRY","PC_25_64","A","2015",3.7072153,
"NLD","UNEMPEDU","TRY","PC_25_64","A","2016",3.363584,
"NLD","UNEMPEDU","TRY","PC_25_64","A","2017",2.7507279,
"NLD","UNEMPEDU","TRY","PC_25_64","A","2018",2.2953672,
"POL","UNEMPEDU","TRY","PC_25_64","A","1998",2.5003307,
