"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2004",4.5093989,
"AUT","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2005",4.4573798,
"AUT","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2006",4.2839327,
"AUT","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2007",3.8810027,
"AUT","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2008",3.3056886,
"AUT","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2009",4.2781534,
"AUT","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2010",3.9608867,
"AUT","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2011",3.7326627,
"AUT","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2012",4.0155025,
"AUT","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2013",4.4105725,
"AUT","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2014",4.5133271,
"AUT","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2015",4.9086285,
"AUT","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2016",5.2282047,
"AUT","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2017",4.7288117,
"AUT","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2018",3.8333592,
"BEL","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2000",5.2612224,
"BEL","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2001",5.4699497,
"BEL","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2002",6.0409765,
"BEL","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2003",6.7225633,
"BEL","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2004",6.854125,
"BEL","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2005",6.876792,
"BEL","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2006",6.7184639,
"BEL","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2007",6.1968522,
"BEL","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2008",5.7245617,
"BEL","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2009",6.4828415,
"BEL","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2010",6.5756721,
"BEL","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2011",5.6635413,
"BEL","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2012",6.7042727,
"BEL","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2013",6.8222361,
"BEL","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2014",7.2915735,
"BEL","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2015",7.5088267,
"BEL","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2016",6.9744177,
"BEL","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2017",6.1271291,
"BEL","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2018",5.0862646,
"CZE","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","1998",4.5685649,
"CZE","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","1999",6.4782114,
"CZE","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2000",6.7193289,
"CZE","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2001",6.1559801,
"CZE","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2002",5.5838985,
"CZE","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2003",6.0080347,
"CZE","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2004",6.3943377,
"CZE","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2005",6.2156796,
"CZE","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2006",5.5302625,
"CZE","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2007",4.2923079,
"CZE","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2008",3.3392425,
"CZE","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2009",5.4149466,
"CZE","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2010",6.170619,
"CZE","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2011",5.7057652,
"CZE","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2012",5.69208,
"CZE","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2013",6.1256247,
"CZE","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2014",5.4420819,
"CZE","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2015",4.3891835,
"CZE","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2016",3.2249165,
"CZE","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2017",2.4906461,
"CZE","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2018",1.8990363,
"DNK","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","1998",4.6069651,
"DNK","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","1999",4.0697794,
"DNK","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2000",3.919024,
"DNK","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2001",3.6540513,
"DNK","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2002",3.7233107,
"DNK","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2003",4.4659286,
"DNK","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2004",4.7615967,
"DNK","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2005",4.0216331,
"DNK","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2006",2.7036965,
"DNK","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2007",2.5650465,
"DNK","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2008",2.2658947,
