"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","LTUNEMP","TOT","PC_UNEMP","A","1998",30.293971101146,
"AUT","LTUNEMP","TOT","PC_UNEMP","A","1999",29.1735995562951,
"AUT","LTUNEMP","TOT","PC_UNEMP","A","2000",25.8375724529264,
"AUT","LTUNEMP","TOT","PC_UNEMP","A","2001",23.3310064522022,
"AUT","LTUNEMP","TOT","PC_UNEMP","A","2002",19.2131723700492,
"AUT","LTUNEMP","TOT","PC_UNEMP","A","2003",24.5470964917082,
"AUT","LTUNEMP","TOT","PC_UNEMP","A","2004",27.8930528581584,
"AUT","LTUNEMP","TOT","PC_UNEMP","A","2005",25.5295061040244,
"AUT","LTUNEMP","TOT","PC_UNEMP","A","2006",27.9636636514844,
"AUT","LTUNEMP","TOT","PC_UNEMP","A","2007",27.2456825538187,
"AUT","LTUNEMP","TOT","PC_UNEMP","A","2008",24.3227529979009,
"AUT","LTUNEMP","TOT","PC_UNEMP","A","2009",21.6810131113077,
"AUT","LTUNEMP","TOT","PC_UNEMP","A","2010",25.4463757471112,
"AUT","LTUNEMP","TOT","PC_UNEMP","A","2011",26.2558504871444,
"AUT","LTUNEMP","TOT","PC_UNEMP","A","2012",24.9125091629393,
"AUT","LTUNEMP","TOT","PC_UNEMP","A","2013",24.5928924403852,
"AUT","LTUNEMP","TOT","PC_UNEMP","A","2014",27.2021202803429,
"AUT","LTUNEMP","TOT","PC_UNEMP","A","2015",29.2154463151361,
"AUT","LTUNEMP","TOT","PC_UNEMP","A","2016",32.2886809062047,
"AUT","LTUNEMP","TOT","PC_UNEMP","A","2017",33.4254343612173,
"AUT","LTUNEMP","TOT","PC_UNEMP","A","2018",28.8987448132482,
"BEL","LTUNEMP","TOT","PC_UNEMP","A","1998",61.6601722534761,
"BEL","LTUNEMP","TOT","PC_UNEMP","A","1999",60.5014291615066,
"BEL","LTUNEMP","TOT","PC_UNEMP","A","2000",54.2166017088512,
