"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","UNEMP","MEN","PC_LF","A","1998",3.975019,
"AUT","UNEMP","MEN","PC_LF","A","1999",3.649139,
"AUT","UNEMP","MEN","PC_LF","A","2000",3.294462,
"AUT","UNEMP","MEN","PC_LF","A","2001",3.425509,
"AUT","UNEMP","MEN","PC_LF","A","2002",4.009116,
"AUT","UNEMP","MEN","PC_LF","A","2003",4.341918,"B"
"AUT","UNEMP","MEN","PC_LF","A","2004",5.145496,"B"
"AUT","UNEMP","MEN","PC_LF","A","2005",5.437939,
"AUT","UNEMP","MEN","PC_LF","A","2006",4.948683,"B"
"AUT","UNEMP","MEN","PC_LF","A","2007",4.489506,
"AUT","UNEMP","MEN","PC_LF","A","2008",3.890318,
"AUT","UNEMP","MEN","PC_LF","A","2009",5.484337,
"AUT","UNEMP","MEN","PC_LF","A","2010",4.989801,
"AUT","UNEMP","MEN","PC_LF","A","2011",4.55039,
"AUT","UNEMP","MEN","PC_LF","A","2012",4.929703,
"AUT","UNEMP","MEN","PC_LF","A","2013",5.373562,
"AUT","UNEMP","MEN","PC_LF","A","2014",5.830175,
"AUT","UNEMP","MEN","PC_LF","A","2015",6.087906,
"AUT","UNEMP","MEN","PC_LF","A","2016",6.42944,
"AUT","UNEMP","MEN","PC_LF","A","2017",5.914127,
"AUT","UNEMP","MEN","PC_LF","A","2018",5.024486,
"BEL","UNEMP","MEN","PC_LF","A","1999",7.175152,
"BEL","UNEMP","MEN","PC_LF","A","2000",5.753848,"B"
"BEL","UNEMP","MEN","PC_LF","A","2001",5.937117,
"BEL","UNEMP","MEN","PC_LF","A","2002",6.665406,
"BEL","UNEMP","MEN","PC_LF","A","2003",7.647712,
"BEL","UNEMP","MEN","PC_LF","A","2004",7.497774,"B"
"BEL","UNEMP","MEN","PC_LF","A","2005",7.596472,
"BEL","UNEMP","MEN","PC_LF","A","2006",7.398829,
"BEL","UNEMP","MEN","PC_LF","A","2007",6.660986,
"BEL","UNEMP","MEN","PC_LF","A","2008",6.464678,
"BEL","UNEMP","MEN","PC_LF","A","2009",7.743461,
"BEL","UNEMP","MEN","PC_LF","A","2010",8.107247,"B"
