"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","YOUTHUNEMP","TOT","PC_YOUTHLF","A","1999",4.975,
"AUT","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2000",5.15,
"AUT","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2001",5.7,
"AUT","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2002",6.175,
"AUT","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2003",7.05,"B"
"AUT","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2004",10.5,"B"
"AUT","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2005",10.975,
"AUT","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2006",9.8,"B"
"AUT","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2007",9.375,
"AUT","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2008",8.475,
"AUT","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2009",10.65,
"AUT","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2010",9.475,
"AUT","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2011",8.95,
"AUT","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2012",9.4,
"AUT","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2013",9.675,
"AUT","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2014",10.275,
"AUT","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2015",10.575,
"AUT","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2016",11.2,
"AUT","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2017",9.8,
"AUT","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2018",9.4,
"BEL","YOUTHUNEMP","TOT","PC_YOUTHLF","A","1999",21.025,
"BEL","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2000",17.425,"B"
"BEL","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2001",16.875,
"BEL","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2002",17.7,
"BEL","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2003",21.725,
"BEL","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2004",21.1,"B"
"BEL","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2005",21.475,
"BEL","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2006",20.475,
"BEL","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2007",18.875,
"BEL","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2008",17.825,
"BEL","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2009",21.9,
"BEL","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2010",22.4,"B"
"BEL","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2011",18.675,
"BEL","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2012",19.675,
"BEL","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2013",23.675,
"BEL","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2014",23.3,
"BEL","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2015",22.1,
"BEL","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2016",20.125,"B"
"BEL","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2017",19.3,
"BEL","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2018",15.85,
"CZE","YOUTHUNEMP","TOT","PC_YOUTHLF","A","1998",13,
"CZE","YOUTHUNEMP","TOT","PC_YOUTHLF","A","1999",18.025,
"CZE","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2000",18.1,
