"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"GBR","HHFA","TOT","USD_CAP","A","1998",69931.6766366734,
"GBR","HHFA","TOT","USD_CAP","A","1999",74077.133039037,
"GBR","HHFA","TOT","USD_CAP","A","2000",79465.4201068044,
"GBR","HHFA","TOT","USD_CAP","A","2001",79161.4718721471,
"GBR","HHFA","TOT","USD_CAP","A","2002",79716.4465536585,
"GBR","HHFA","TOT","USD_CAP","A","2003",83087.2739586287,
"GBR","HHFA","TOT","USD_CAP","A","2004",89049.3337919761,
"GBR","HHFA","TOT","USD_CAP","A","2005",94013.8613522655,
"GBR","HHFA","TOT","USD_CAP","A","2006",99016.2339461034,
"GBR","HHFA","TOT","USD_CAP","A","2007",101488.578968719,
"GBR","HHFA","TOT","USD_CAP","A","2008",99524.9720970769,
"GBR","HHFA","TOT","USD_CAP","A","2009",101877.029150423,
"GBR","HHFA","TOT","USD_CAP","A","2010",106415.028389953,
"GBR","HHFA","TOT","USD_CAP","A","2011",113789.77574332,
"GBR","HHFA","TOT","USD_CAP","A","2012",116560.148606579,
"GBR","HHFA","TOT","USD_CAP","A","2013",118567.11637578,
"GBR","HHFA","TOT","USD_CAP","A","2014",130493.287176141,
"GBR","HHFA","TOT","USD_CAP","A","2015",132882.401256608,
"GBR","HHFA","TOT","USD_CAP","A","2016",142819.729453336,
"GBR","HHFA","TOT","USD_CAP","A","2017",147587.362093644,
"GBR","HHFA","TOT","USD_CAP","A","2018",146223.272327623,
"FIN","HHFA","TOT","USD_CAP","A","1998",20655.9549708422,
"FIN","HHFA","TOT","USD_CAP","A","1999",26157.3848773044,
"FIN","HHFA","TOT","USD_CAP","A","2000",28637.7568456593,
"FIN","HHFA","TOT","USD_CAP","A","2001",27592.7814049231,
"FIN","HHFA","TOT","USD_CAP","A","2002",27271.2471955925,
"FIN","HHFA","TOT","USD_CAP","A","2003",30198.9197642053,
"FIN","HHFA","TOT","USD_CAP","A","2004",33628.7872471585,
"FIN","HHFA","TOT","USD_CAP","A","2005",37418.8620847949,
"FIN","HHFA","TOT","USD_CAP","A","2006",41887.9847337448,
"FIN","HHFA","TOT","USD_CAP","A","2007",43750.5078553329,
"FIN","HHFA","TOT","USD_CAP","A","2008",40104.3354599742,
"FIN","HHFA","TOT","USD_CAP","A","2009",45740.6199297091,
"FIN","HHFA","TOT","USD_CAP","A","2010",50091.7294816586,
"FIN","HHFA","TOT","USD_CAP","A","2011",47952.7285384978,
"FIN","HHFA","TOT","USD_CAP","A","2012",50800.2842155449,
"FIN","HHFA","TOT","USD_CAP","A","2013",55663.6392278389,
"FIN","HHFA","TOT","USD_CAP","A","2014",58231.7153718624,
"FIN","HHFA","TOT","USD_CAP","A","2015",60708.0283809265,
"FIN","HHFA","TOT","USD_CAP","A","2016",63236.4944588529,
"FIN","HHFA","TOT","USD_CAP","A","2017",67452.4545824465,
"FIN","HHFA","TOT","USD_CAP","A","2018",67618.5897450137,
"HUN","HHFA","TOT","USD_CAP","A","1998",7504.75513449814,
"HUN","HHFA","TOT","USD_CAP","A","1999",8401.01042971776,
"HUN","HHFA","TOT","USD_CAP","A","2000",9436.29748001868,
"HUN","HHFA","TOT","USD_CAP","A","2001",10608.0478974487,
"HUN","HHFA","TOT","USD_CAP","A","2002",11832.9721126035,
"HUN","HHFA","TOT","USD_CAP","A","2003",13025.385235849,
"HUN","HHFA","TOT","USD_CAP","A","2004",14119.3452606447,
"HUN","HHFA","TOT","USD_CAP","A","2005",16013.836739052,
"HUN","HHFA","TOT","USD_CAP","A","2006",18111.3823544222,
"HUN","HHFA","TOT","USD_CAP","A","2007",19622.8798223281,
"HUN","HHFA","TOT","USD_CAP","A","2008",20859.2957420729,
"HUN","HHFA","TOT","USD_CAP","A","2009",23092.6904973851,
"HUN","HHFA","TOT","USD_CAP","A","2010",24792.8509496281,
"HUN","HHFA","TOT","USD_CAP","A","2011",26399.7641141746,
"HUN","HHFA","TOT","USD_CAP","A","2012",27284.3500109079,
"HUN","HHFA","TOT","USD_CAP","A","2013",29148.9403505,
"HUN","HHFA","TOT","USD_CAP","A","2014",30852.5411667386,
"HUN","HHFA","TOT","USD_CAP","A","2015",32829.5940357287,
"HUN","HHFA","TOT","USD_CAP","A","2016",35053.626266287,
"HUN","HHFA","TOT","USD_CAP","A","2017",37978.7782745491,
"HUN","HHFA","TOT","USD_CAP","A","2018",40777.1597437177,
"AUT","HHFA","TOT","USD_CAP","A","1998",39634.60183493,
"AUT","HHFA","TOT","USD_CAP","A","1999",41892.5357897367,
"AUT","HHFA","TOT","USD_CAP","A","2000",45186.9035680703,
"AUT","HHFA","TOT","USD_CAP","A","2001",45398.081307631,
"AUT","HHFA","TOT","USD_CAP","A","2002",47491.1137770619,
"AUT","HHFA","TOT","USD_CAP","A","2003",50699.0008992648,
"AUT","HHFA","TOT","USD_CAP","A","2004",54178.2400226041,
"AUT","HHFA","TOT","USD_CAP","A","2005",58896.6368740523,
"AUT","HHFA","TOT","USD_CAP","A","2006",64013.4532374275,
"AUT","HHFA","TOT","USD_CAP","A","2007",66647.5965481317,
"AUT","HHFA","TOT","USD_CAP","A","2008",66574.8327600496,
"AUT","HHFA","TOT","USD_CAP","A","2009",72344.3429945529,
"AUT","HHFA","TOT","USD_CAP","A","2010",75582.3343454831,
"AUT","HHFA","TOT","USD_CAP","A","2011",76919.9974222152,
"AUT","HHFA","TOT","USD_CAP","A","2012",81242.0536912226,
"AUT","HHFA","TOT","USD_CAP","A","2013",85871.5313400694,
"AUT","HHFA","TOT","USD_CAP","A","2014",88641.134725207,
"AUT","HHFA","TOT","USD_CAP","A","2015",90263.7370981745,
"AUT","HHFA","TOT","USD_CAP","A","2016",94136.039129577,
"AUT","HHFA","TOT","USD_CAP","A","2017",99386.8562383212,
"AUT","HHFA","TOT","USD_CAP","A","2018",99088.7204729167,
"SVK","HHFA","TOT","USD_CAP","A","1998",9489.60508096553,
"SVK","HHFA","TOT","USD_CAP","A","1999",9327.19498228194,
"SVK","HHFA","TOT","USD_CAP","A","2000",9553.75042957245,
"SVK","HHFA","TOT","USD_CAP","A","2001",9907.27386009772,
"SVK","HHFA","TOT","USD_CAP","A","2002",8576.23270983905,
"SVK","HHFA","TOT","USD_CAP","A","2003",8840.29406289388,
"SVK","HHFA","TOT","USD_CAP","A","2004",8141.46742447581,
"SVK","HHFA","TOT","USD_CAP","A","2005",9477.25223832858,
"SVK","HHFA","TOT","USD_CAP","A","2006",11167.0322778504,
"SVK","HHFA","TOT","USD_CAP","A","2007",12810.95108895,
"SVK","HHFA","TOT","USD_CAP","A","2008",14241.3991877807,
"SVK","HHFA","TOT","USD_CAP","A","2009",15560.5372523474,
"SVK","HHFA","TOT","USD_CAP","A","2010",18200.74390838,
"SVK","HHFA","TOT","USD_CAP","A","2011",19352.2341997313,
"SVK","HHFA","TOT","USD_CAP","A","2012",21133.9102449511,
"SVK","HHFA","TOT","USD_CAP","A","2013",23249.2020295427,
"SVK","HHFA","TOT","USD_CAP","A","2014",26117.3245596402,
"SVK","HHFA","TOT","USD_CAP","A","2015",27558.1705218908,
"SVK","HHFA","TOT","USD_CAP","A","2016",29683.1915297484,
"SVK","HHFA","TOT","USD_CAP","A","2017",30953.7903698301,
"SVK","HHFA","TOT","USD_CAP","A","2018",31843.351068034,
"EST","HHFA","TOT","USD_CAP","A","1998",3968.88750996238,
"EST","HHFA","TOT","USD_CAP","A","1999",4734.73897263327,
"EST","HHFA","TOT","USD_CAP","A","2000",5666.91653572861,
"EST","HHFA","TOT","USD_CAP","A","2001",5860.12158928595,
"EST","HHFA","TOT","USD_CAP","A","2002",7559.91306061212,
"EST","HHFA","TOT","USD_CAP","A","2003",9406.00159954818,
"EST","HHFA","TOT","USD_CAP","A","2004",10765.1166900724,
"EST","HHFA","TOT","USD_CAP","A","2005",11943.3282385891,
"EST","HHFA","TOT","USD_CAP","A","2006",13562.7692111676,
"EST","HHFA","TOT","USD_CAP","A","2007",15521.0349848409,
"EST","HHFA","TOT","USD_CAP","A","2008",20804.3258226203,
"EST","HHFA","TOT","USD_CAP","A","2009",18247.9829172013,
"EST","HHFA","TOT","USD_CAP","A","2010",19466.6914320289,
"EST","HHFA","TOT","USD_CAP","A","2011",22066.9824124727,
"EST","HHFA","TOT","USD_CAP","A","2012",26353.4806440331,
"EST","HHFA","TOT","USD_CAP","A","2013",29627.7753303696,
"EST","HHFA","TOT","USD_CAP","A","2014",32882.2699083912,
"EST","HHFA","TOT","USD_CAP","A","2015",32983.4726246678,
"EST","HHFA","TOT","USD_CAP","A","2016",35994.6357402128,
"EST","HHFA","TOT","USD_CAP","A","2017",40791.0103635366,
"EST","HHFA","TOT","USD_CAP","A","2018",43920.4622517206,
"DNK","HHFA","TOT","USD_CAP","A","1998",47571.8193958784,
"DNK","HHFA","TOT","USD_CAP","A","1999",52020.0717574002,
"DNK","HHFA","TOT","USD_CAP","A","2000",54703.633111738,
"DNK","HHFA","TOT","USD_CAP","A","2001",52753.5444673596,
"DNK","HHFA","TOT","USD_CAP","A","2002",53709.185816229,
"DNK","HHFA","TOT","USD_CAP","A","2003",57737.5719863332,
"DNK","HHFA","TOT","USD_CAP","A","2004",65775.6207738124,
"DNK","HHFA","TOT","USD_CAP","A","2005",81899.4061377084,
"DNK","HHFA","TOT","USD_CAP","A","2006",93989.3228177078,
"DNK","HHFA","TOT","USD_CAP","A","2007",96131.704710149,
"DNK","HHFA","TOT","USD_CAP","A","2008",87558.2615328437,
"DNK","HHFA","TOT","USD_CAP","A","2009",99612.4719790481,
"DNK","HHFA","TOT","USD_CAP","A","2010",110670.05502704,
"DNK","HHFA","TOT","USD_CAP","A","2011",113304.724323955,
"DNK","HHFA","TOT","USD_CAP","A","2012",122251.078518946,
"DNK","HHFA","TOT","USD_CAP","A","2013",128316.601007103,
"DNK","HHFA","TOT","USD_CAP","A","2014",138266.398434813,
"DNK","HHFA","TOT","USD_CAP","A","2015",145132.251762033,
"DNK","HHFA","TOT","USD_CAP","A","2016",151637.746287264,
"DNK","HHFA","TOT","USD_CAP","A","2017",167252.070428619,
"DNK","HHFA","TOT","USD_CAP","A","2018",163485.308940333,
"ESP","HHFA","TOT","USD_CAP","A","1998",31470.8040014532,
"ESP","HHFA","TOT","USD_CAP","A","1999",33783.3000646573,
"ESP","HHFA","TOT","USD_CAP","A","2000",34550.6858979265,
"ESP","HHFA","TOT","USD_CAP","A","2001",35814.0468163971,
"ESP","HHFA","TOT","USD_CAP","A","2002",36172.2549005259,
"ESP","HHFA","TOT","USD_CAP","A","2003",39505.5532640788,
"ESP","HHFA","TOT","USD_CAP","A","2004",42501.0810190148,
"ESP","HHFA","TOT","USD_CAP","A","2005",47487.539839321,
"ESP","HHFA","TOT","USD_CAP","A","2006",56867.2709660386,
"ESP","HHFA","TOT","USD_CAP","A","2007",58170.1769901111,
"ESP","HHFA","TOT","USD_CAP","A","2008",52291.700086481,
"ESP","HHFA","TOT","USD_CAP","A","2009",53815.9858536947,
"ESP","HHFA","TOT","USD_CAP","A","2010",53801.0739722695,
"ESP","HHFA","TOT","USD_CAP","A","2011",55109.9755873305,
"ESP","HHFA","TOT","USD_CAP","A","2012",57665.996470137,
"ESP","HHFA","TOT","USD_CAP","A","2013",64398.2763620353,
"ESP","HHFA","TOT","USD_CAP","A","2014",67994.6853808618,
"ESP","HHFA","TOT","USD_CAP","A","2015",70227.1355970717,
"ESP","HHFA","TOT","USD_CAP","A","2016",71903.6048374043,
"ESP","HHFA","TOT","USD_CAP","A","2017",75250.2235443145,
"ESP","HHFA","TOT","USD_CAP","A","2018",73110.3496207241,
"CZE","HHFA","TOT","USD_CAP","A","1998",12678.2255555682,
"CZE","HHFA","TOT","USD_CAP","A","1999",13034.5049483676,
"CZE","HHFA","TOT","USD_CAP","A","2000",13279.5347236,
"CZE","HHFA","TOT","USD_CAP","A","2001",14382.9099287843,
"CZE","HHFA","TOT","USD_CAP","A","2002",15236.8017763722,
"CZE","HHFA","TOT","USD_CAP","A","2003",16699.5473983861,
"CZE","HHFA","TOT","USD_CAP","A","2004",16745.2825247794,
"CZE","HHFA","TOT","USD_CAP","A","2005",17784.5520735418,
"CZE","HHFA","TOT","USD_CAP","A","2006",19262.7855737318,
"CZE","HHFA","TOT","USD_CAP","A","2007",22467.2866504569,
"CZE","HHFA","TOT","USD_CAP","A","2008",24603.927739066,
"CZE","HHFA","TOT","USD_CAP","A","2009",25733.4797414379,
"CZE","HHFA","TOT","USD_CAP","A","2010",27243.8321317396,
"CZE","HHFA","TOT","USD_CAP","A","2011",28599.1944772151,
"CZE","HHFA","TOT","USD_CAP","A","2012",31103.8512446734,
"CZE","HHFA","TOT","USD_CAP","A","2013",33693.5298178104,
