"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","HHDEBT","TOT","PC_NDI","A","1998",70.46921,
"AUT","HHDEBT","TOT","PC_NDI","A","1999",73.53783,
"AUT","HHDEBT","TOT","PC_NDI","A","2000",75.41841,
"AUT","HHDEBT","TOT","PC_NDI","A","2001",77.01186,
"AUT","HHDEBT","TOT","PC_NDI","A","2002",78.95232,
"AUT","HHDEBT","TOT","PC_NDI","A","2003",79.08277,
"AUT","HHDEBT","TOT","PC_NDI","A","2004",81.19778,
"AUT","HHDEBT","TOT","PC_NDI","A","2005",87.18607,
"AUT","HHDEBT","TOT","PC_NDI","A","2006",88.55872,
"AUT","HHDEBT","TOT","PC_NDI","A","2007",88.36625,
"AUT","HHDEBT","TOT","PC_NDI","A","2008",89.79839,
"AUT","HHDEBT","TOT","PC_NDI","A","2009",90.11239,
"AUT","HHDEBT","TOT","PC_NDI","A","2010",93.71614,
"AUT","HHDEBT","TOT","PC_NDI","A","2011",93.2784,
"AUT","HHDEBT","TOT","PC_NDI","A","2012",91.04684,
"AUT","HHDEBT","TOT","PC_NDI","A","2013",90.82967,
"AUT","HHDEBT","TOT","PC_NDI","A","2014",90.48386,
"AUT","HHDEBT","TOT","PC_NDI","A","2015",92.05358,
"AUT","HHDEBT","TOT","PC_NDI","A","2016",92.06706,
"AUT","HHDEBT","TOT","PC_NDI","A","2017",90.79732,
"AUT","HHDEBT","TOT","PC_NDI","A","2018",90.27317,
"BEL","HHDEBT","TOT","PC_NDI","A","1998",71.44411,
"BEL","HHDEBT","TOT","PC_NDI","A","1999",73.2928,
"BEL","HHDEBT","TOT","PC_NDI","A","2000",71.44542,
"BEL","HHDEBT","TOT","PC_NDI","A","2001",67.32359,
"BEL","HHDEBT","TOT","PC_NDI","A","2002",68.94025,
"BEL","HHDEBT","TOT","PC_NDI","A","2003",70.9725,
"BEL","HHDEBT","TOT","PC_NDI","A","2004",75.30257,
"BEL","HHDEBT","TOT","PC_NDI","A","2005",80.51897,
"BEL","HHDEBT","TOT","PC_NDI","A","2006",84.01609,
"BEL","HHDEBT","TOT","PC_NDI","A","2007",87.73544,
"BEL","HHDEBT","TOT","PC_NDI","A","2008",90.04877,
"BEL","HHDEBT","TOT","PC_NDI","A","2009",92.82834,
"BEL","HHDEBT","TOT","PC_NDI","A","2010",97.41507,
"BEL","HHDEBT","TOT","PC_NDI","A","2011",102.6412,
"BEL","HHDEBT","TOT","PC_NDI","A","2012",103.0443,
"BEL","HHDEBT","TOT","PC_NDI","A","2013",104.7668,
"BEL","HHDEBT","TOT","PC_NDI","A","2014",109.2393,
"BEL","HHDEBT","TOT","PC_NDI","A","2015",111.6695,
"BEL","HHDEBT","TOT","PC_NDI","A","2016",112.5323,
"BEL","HHDEBT","TOT","PC_NDI","A","2017",113.5038,
"BEL","HHDEBT","TOT","PC_NDI","A","2018",114.9683,
"CZE","HHDEBT","TOT","PC_NDI","A","1998",19.39907,
"CZE","HHDEBT","TOT","PC_NDI","A","1999",20.55857,
"CZE","HHDEBT","TOT","PC_NDI","A","2000",21.75438,
"CZE","HHDEBT","TOT","PC_NDI","A","2001",22.30066,
"CZE","HHDEBT","TOT","PC_NDI","A","2002",27.12434,
"CZE","HHDEBT","TOT","PC_NDI","A","2003",29.37438,
"CZE","HHDEBT","TOT","PC_NDI","A","2004",34.20975,
"CZE","HHDEBT","TOT","PC_NDI","A","2005",39.51069,
"CZE","HHDEBT","TOT","PC_NDI","A","2006",43.66888,
"CZE","HHDEBT","TOT","PC_NDI","A","2007",53.19638,
"CZE","HHDEBT","TOT","PC_NDI","A","2008",59.06403,
"CZE","HHDEBT","TOT","PC_NDI","A","2009",60.59196,
"CZE","HHDEBT","TOT","PC_NDI","A","2010",62.02726,
"CZE","HHDEBT","TOT","PC_NDI","A","2011",64.64095,
"CZE","HHDEBT","TOT","PC_NDI","A","2012",65.81157,
"CZE","HHDEBT","TOT","PC_NDI","A","2013",68.30981,
"CZE","HHDEBT","TOT","PC_NDI","A","2014",66.66041,
"CZE","HHDEBT","TOT","PC_NDI","A","2015",67.1994,
"CZE","HHDEBT","TOT","PC_NDI","A","2016",68.78602,
"CZE","HHDEBT","TOT","PC_NDI","A","2017",65.71616,
"CZE","HHDEBT","TOT","PC_NDI","A","2018",69.93829,
"DNK","HHDEBT","TOT","PC_NDI","A","1998",221.4437,
