"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"NLD","HHDI","GROSSADJ","USD_CAP","A","1998",18854.3381533721,
"NLD","HHDI","GROSSADJ","USD_CAP","A","1999",19888.6816682433,
"NLD","HHDI","GROSSADJ","USD_CAP","A","2000",22229.151371707,
"NLD","HHDI","GROSSADJ","USD_CAP","A","2001",23824.6792075005,
"NLD","HHDI","GROSSADJ","USD_CAP","A","2002",25571.4949357928,
"NLD","HHDI","GROSSADJ","USD_CAP","A","2003",24485.4412092963,
"NLD","HHDI","GROSSADJ","USD_CAP","A","2004",25432.3375066091,
"NLD","HHDI","GROSSADJ","USD_CAP","A","2005",25581.2513589009,
"NLD","HHDI","GROSSADJ","USD_CAP","A","2006",27538.9582544493,
"NLD","HHDI","GROSSADJ","USD_CAP","A","2007",29054.2516690475,
"NLD","HHDI","GROSSADJ","USD_CAP","A","2008",30251.7291764812,
"NLD","HHDI","GROSSADJ","USD_CAP","A","2009",30054.223559395,
"NLD","HHDI","GROSSADJ","USD_CAP","A","2010",29797.2448435995,
"NLD","HHDI","GROSSADJ","USD_CAP","A","2011",30222.0288426771,
"NLD","HHDI","GROSSADJ","USD_CAP","A","2012",30910.027039062,
"NLD","HHDI","GROSSADJ","USD_CAP","A","2013",31517.2660595762,
"NLD","HHDI","GROSSADJ","USD_CAP","A","2014",31761.7144250986,
"NLD","HHDI","GROSSADJ","USD_CAP","A","2015",32034.8393595393,
"NLD","HHDI","GROSSADJ","USD_CAP","A","2016",32589.319285718,
"NLD","HHDI","GROSSADJ","USD_CAP","A","2017",33675.9048360386,"E"
"NLD","HHDI","GROSSADJ","USD_CAP","A","2018",34809.6188785832,"E"
"CZE","HHDI","GROSSADJ","USD_CAP","A","1998",10505.757091273,
"CZE","HHDI","GROSSADJ","USD_CAP","A","1999",10920.1593756992,
"CZE","HHDI","GROSSADJ","USD_CAP","A","2000",11882.0174449932,
"CZE","HHDI","GROSSADJ","USD_CAP","A","2001",12912.7542391771,
"CZE","HHDI","GROSSADJ","USD_CAP","A","2002",13616.2005664346,
"CZE","HHDI","GROSSADJ","USD_CAP","A","2003",14147.4378092608,
"CZE","HHDI","GROSSADJ","USD_CAP","A","2004",14770.5919917909,
"CZE","HHDI","GROSSADJ","USD_CAP","A","2005",15112.8110063415,
"CZE","HHDI","GROSSADJ","USD_CAP","A","2006",15799.5697876209,
"CZE","HHDI","GROSSADJ","USD_CAP","A","2007",16856.5118204963,
"CZE","HHDI","GROSSADJ","USD_CAP","A","2008",17812.3913834735,
"CZE","HHDI","GROSSADJ","USD_CAP","A","2009",18555.2770385754,
"CZE","HHDI","GROSSADJ","USD_CAP","A","2010",19040.2467883897,
"CZE","HHDI","GROSSADJ","USD_CAP","A","2011",19143.9251195036,
"CZE","HHDI","GROSSADJ","USD_CAP","A","2012",19510.8159563662,
"CZE","HHDI","GROSSADJ","USD_CAP","A","2013",20476.2596519503,
"CZE","HHDI","GROSSADJ","USD_CAP","A","2014",21513.0372574912,
"CZE","HHDI","GROSSADJ","USD_CAP","A","2015",22030.7928965903,
"CZE","HHDI","GROSSADJ","USD_CAP","A","2016",23063.0456300821,
"CZE","HHDI","GROSSADJ","USD_CAP","A","2017",24440.6282850653,
"CZE","HHDI","GROSSADJ","USD_CAP","A","2018",25788.0326720796,
"DEU","HHDI","GROSSADJ","USD_CAP","A","1998",20341.0777834298,
"DEU","HHDI","GROSSADJ","USD_CAP","A","1999",21299.5105299765,
"DEU","HHDI","GROSSADJ","USD_CAP","A","2000",22422.050500808,
"DEU","HHDI","GROSSADJ","USD_CAP","A","2001",23530.9286733222,
"DEU","HHDI","GROSSADJ","USD_CAP","A","2002",24520.5648809281,
"DEU","HHDI","GROSSADJ","USD_CAP","A","2003",25072.2797121149,
"DEU","HHDI","GROSSADJ","USD_CAP","A","2004",25975.9873913722,
"DEU","HHDI","GROSSADJ","USD_CAP","A","2005",26000.9341282298,
"DEU","HHDI","GROSSADJ","USD_CAP","A","2006",26876.6352238254,
"DEU","HHDI","GROSSADJ","USD_CAP","A","2007",27915.6915856286,
"DEU","HHDI","GROSSADJ","USD_CAP","A","2008",29093.3128254515,
"DEU","HHDI","GROSSADJ","USD_CAP","A","2009",29223.7061219833,
"DEU","HHDI","GROSSADJ","USD_CAP","A","2010",30683.4229995966,
"DEU","HHDI","GROSSADJ","USD_CAP","A","2011",32107.4297783866,
"DEU","HHDI","GROSSADJ","USD_CAP","A","2012",33295.3269203802,
"DEU","HHDI","GROSSADJ","USD_CAP","A","2013",34223.4597249994,
"DEU","HHDI","GROSSADJ","USD_CAP","A","2014",35129.6390803107,
"DEU","HHDI","GROSSADJ","USD_CAP","A","2015",35460.3136473536,
"DEU","HHDI","GROSSADJ","USD_CAP","A","2016",37045.7769016899,
"DEU","HHDI","GROSSADJ","USD_CAP","A","2017",38426.4536559997,
