"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"SVN","HHEXP","TOT","AGRWTH","A","1998",2.90686337910501,
"SVN","HHEXP","TOT","AGRWTH","A","1999",6.61729479567312,
"SVN","HHEXP","TOT","AGRWTH","A","2000",-0.126822827701455,
"SVN","HHEXP","TOT","AGRWTH","A","2001",2.8558831193579,
"SVN","HHEXP","TOT","AGRWTH","A","2002",2.39177966185957,
"SVN","HHEXP","TOT","AGRWTH","A","2003",3.50408326758194,
"SVN","HHEXP","TOT","AGRWTH","A","2004",2.53610868612296,
"SVN","HHEXP","TOT","AGRWTH","A","2005",2.06614989651265,
"SVN","HHEXP","TOT","AGRWTH","A","2006",1.29041715981918,
"SVN","HHEXP","TOT","AGRWTH","A","2007",6.51853803423659,
"SVN","HHEXP","TOT","AGRWTH","A","2008",2.86935976530356,
"SVN","HHEXP","TOT","AGRWTH","A","2009",2.07339384581902,
"SVN","HHEXP","TOT","AGRWTH","A","2010",0.974147754045249,
"SVN","HHEXP","TOT","AGRWTH","A","2011",0.793288903773065,
"SVN","HHEXP","TOT","AGRWTH","A","2012",-2.19013740311133,
"SVN","HHEXP","TOT","AGRWTH","A","2013",-3.93641606794671,
"SVN","HHEXP","TOT","AGRWTH","A","2014",1.62379753983782,
"SVN","HHEXP","TOT","AGRWTH","A","2015",2.02849218500482,
"SVN","HHEXP","TOT","AGRWTH","A","2016",4.35838395662611,
"SVN","HHEXP","TOT","AGRWTH","A","2017",2.25924758665187,
"SVN","HHEXP","TOT","AGRWTH","A","2018",3.42072929966755,
"NLD","HHEXP","TOT","AGRWTH","A","1998",5.6167544737325,
"NLD","HHEXP","TOT","AGRWTH","A","1999",5.95670794042124,
"NLD","HHEXP","TOT","AGRWTH","A","2000",3.66327709101809,
"NLD","HHEXP","TOT","AGRWTH","A","2001",2.04487111853721,
"NLD","HHEXP","TOT","AGRWTH","A","2002",1.16380965112416,
"NLD","HHEXP","TOT","AGRWTH","A","2003",-0.130428019482473,
"NLD","HHEXP","TOT","AGRWTH","A","2004",0.7599116365034,
"NLD","HHEXP","TOT","AGRWTH","A","2005",0.910053395348175,
"NLD","HHEXP","TOT","AGRWTH","A","2006",-0.155832177431911,
"NLD","HHEXP","TOT","AGRWTH","A","2007",1.87466698560908,
"NLD","HHEXP","TOT","AGRWTH","A","2008",0.890111499296748,
"NLD","HHEXP","TOT","AGRWTH","A","2009",-1.88536825595935,
"NLD","HHEXP","TOT","AGRWTH","A","2010",0.105067032607159,
"NLD","HHEXP","TOT","AGRWTH","A","2011",0.069533129772274,
"NLD","HHEXP","TOT","AGRWTH","A","2012",-1.14109945784833,
"NLD","HHEXP","TOT","AGRWTH","A","2013",-0.964104358802381,
"NLD","HHEXP","TOT","AGRWTH","A","2014",0.374782403160487,
"NLD","HHEXP","TOT","AGRWTH","A","2015",1.97703159315073,
"NLD","HHEXP","TOT","AGRWTH","A","2016",1.11963348090188,
"NLD","HHEXP","TOT","AGRWTH","A","2017",2.13105261664164,
"NLD","HHEXP","TOT","AGRWTH","A","2018",2.32383327055981,"E"
"DEU","HHEXP","TOT","AGRWTH","A","1998",1.44230805823307,
"DEU","HHEXP","TOT","AGRWTH","A","1999",2.60085502233566,
"DEU","HHEXP","TOT","AGRWTH","A","2000",1.65615177113696,
"DEU","HHEXP","TOT","AGRWTH","A","2001",1.19694114625381,
"DEU","HHEXP","TOT","AGRWTH","A","2002",-1.39086661671319,
"DEU","HHEXP","TOT","AGRWTH","A","2003",0.422034651266104,
"DEU","HHEXP","TOT","AGRWTH","A","2004",0.64145100641451,
"DEU","HHEXP","TOT","AGRWTH","A","2005",0.758242101166114,
"DEU","HHEXP","TOT","AGRWTH","A","2006",1.35238302517149,
"DEU","HHEXP","TOT","AGRWTH","A","2007",-0.247498451833442,
"DEU","HHEXP","TOT","AGRWTH","A","2008",0.345199568500539,
"DEU","HHEXP","TOT","AGRWTH","A","2009",-0.09675305089103,
"DEU","HHEXP","TOT","AGRWTH","A","2010",0.710211985132577,
"DEU","HHEXP","TOT","AGRWTH","A","2011",1.85917298236803,
"DEU","HHEXP","TOT","AGRWTH","A","2012",1.48956256724185,
"DEU","HHEXP","TOT","AGRWTH","A","2013",0.36175678223249,
"DEU","HHEXP","TOT","AGRWTH","A","2014",1.05046343975283,
"DEU","HHEXP","TOT","AGRWTH","A","2015",1.91602119853241,
"DEU","HHEXP","TOT","AGRWTH","A","2016",2.27000031206116,
"DEU","HHEXP","TOT","AGRWTH","A","2017",1.33959096876747,
"DEU","HHEXP","TOT","AGRWTH","A","2018",1.2736395214203,
"CZE","HHEXP","TOT","AGRWTH","A","1998",-0.612228795722573,
"CZE","HHEXP","TOT","AGRWTH","A","1999",3.06755618238696,
"CZE","HHEXP","TOT","AGRWTH","A","2000",1.60154881150228,
"CZE","HHEXP","TOT","AGRWTH","A","2001",2.85442071869333,
"CZE","HHEXP","TOT","AGRWTH","A","2002",2.9581421786094,
"CZE","HHEXP","TOT","AGRWTH","A","2003",4.78159697857762,
"CZE","HHEXP","TOT","AGRWTH","A","2004",3.48298852442468,
"CZE","HHEXP","TOT","AGRWTH","A","2005",3.28873371380308,
"CZE","HHEXP","TOT","AGRWTH","A","2006",3.7767477643853,
"CZE","HHEXP","TOT","AGRWTH","A","2007",4.18598637613671,
"CZE","HHEXP","TOT","AGRWTH","A","2008",2.88798973566351,
"CZE","HHEXP","TOT","AGRWTH","A","2009",-0.624756379177272,
"CZE","HHEXP","TOT","AGRWTH","A","2010",1.05129695727094,
"CZE","HHEXP","TOT","AGRWTH","A","2011",0.252898851800036,
"CZE","HHEXP","TOT","AGRWTH","A","2012",-1.2126107819162,
"CZE","HHEXP","TOT","AGRWTH","A","2013",0.514150057072842,
"CZE","HHEXP","TOT","AGRWTH","A","2014",1.7975699948268,
"CZE","HHEXP","TOT","AGRWTH","A","2015",3.69423446704174,
"CZE","HHEXP","TOT","AGRWTH","A","2016",3.63709146495215,
"CZE","HHEXP","TOT","AGRWTH","A","2017",4.25029655653603,
"CZE","HHEXP","TOT","AGRWTH","A","2018",3.36214619412788,
"GRC","HHEXP","TOT","AGRWTH","A","1998",4.56598056789544,
"GRC","HHEXP","TOT","AGRWTH","A","1999",3.49727956185209,
"GRC","HHEXP","TOT","AGRWTH","A","2000",2.52344329460478,
"GRC","HHEXP","TOT","AGRWTH","A","2001",3.62358201975432,
"GRC","HHEXP","TOT","AGRWTH","A","2002",5.08536717875155,
"GRC","HHEXP","TOT","AGRWTH","A","2003",4.53309420779249,
"GRC","HHEXP","TOT","AGRWTH","A","2004",3.60686267873883,
"GRC","HHEXP","TOT","AGRWTH","A","2005",3.22484269625004,
"GRC","HHEXP","TOT","AGRWTH","A","2006",2.78189128490161,
