"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"GBR","QGDP","TOT","PC_CHGPP","Q","2004-Q1",0.543784,
"GBR","QGDP","TOT","PC_CHGPP","Q","2004-Q2",0.357844,
"GBR","QGDP","TOT","PC_CHGPP","Q","2004-Q3",0.165857,
"GBR","QGDP","TOT","PC_CHGPP","Q","2004-Q4",0.329016,
"GBR","QGDP","TOT","PC_CHGPP","Q","2005-Q1",0.840414,
"GBR","QGDP","TOT","PC_CHGPP","Q","2005-Q2",1.243276,
"GBR","QGDP","TOT","PC_CHGPP","Q","2005-Q3",1.139029,
"GBR","QGDP","TOT","PC_CHGPP","Q","2005-Q4",1.49999,
"GBR","QGDP","TOT","PC_CHGPP","Q","2006-Q1",0.39935,
"GBR","QGDP","TOT","PC_CHGPP","Q","2006-Q2",0.251539,
"GBR","QGDP","TOT","PC_CHGPP","Q","2006-Q3",0.102798,
"GBR","QGDP","TOT","PC_CHGPP","Q","2006-Q4",0.519542,
"GBR","QGDP","TOT","PC_CHGPP","Q","2007-Q1",0.933344,
"GBR","QGDP","TOT","PC_CHGPP","Q","2007-Q2",0.619953,
"GBR","QGDP","TOT","PC_CHGPP","Q","2007-Q3",0.776288,
"GBR","QGDP","TOT","PC_CHGPP","Q","2007-Q4",0.471072,
"GBR","QGDP","TOT","PC_CHGPP","Q","2008-Q1",0.542505,
"GBR","QGDP","TOT","PC_CHGPP","Q","2008-Q2",-0.554747,
"GBR","QGDP","TOT","PC_CHGPP","Q","2008-Q3",-1.563698,
"GBR","QGDP","TOT","PC_CHGPP","Q","2008-Q4",-2.065366,
"GBR","QGDP","TOT","PC_CHGPP","Q","2009-Q1",-1.747264,
"GBR","QGDP","TOT","PC_CHGPP","Q","2009-Q2",-0.2434,
"GBR","QGDP","TOT","PC_CHGPP","Q","2009-Q3",0.07103,
"GBR","QGDP","TOT","PC_CHGPP","Q","2009-Q4",0.300051,
"GBR","QGDP","TOT","PC_CHGPP","Q","2010-Q1",0.637137,
"GBR","QGDP","TOT","PC_CHGPP","Q","2010-Q2",1.002053,
"GBR","QGDP","TOT","PC_CHGPP","Q","2010-Q3",0.663216,
"GBR","QGDP","TOT","PC_CHGPP","Q","2010-Q4",0.063325,
"GBR","QGDP","TOT","PC_CHGPP","Q","2011-Q1",0.62948,
"GBR","QGDP","TOT","PC_CHGPP","Q","2011-Q2",0.099462,
"GBR","QGDP","TOT","PC_CHGPP","Q","2011-Q3",0.310121,
"GBR","QGDP","TOT","PC_CHGPP","Q","2011-Q4",0.185897,
"GBR","QGDP","TOT","PC_CHGPP","Q","2012-Q1",0.643558,
"GBR","QGDP","TOT","PC_CHGPP","Q","2012-Q2",-0.078857,
"GBR","QGDP","TOT","PC_CHGPP","Q","2012-Q3",1.215525,
"GBR","QGDP","TOT","PC_CHGPP","Q","2012-Q4",-0.153764,
"GBR","QGDP","TOT","PC_CHGPP","Q","2013-Q1",0.644579,
"GBR","QGDP","TOT","PC_CHGPP","Q","2013-Q2",0.535984,
"GBR","QGDP","TOT","PC_CHGPP","Q","2013-Q3",0.945745,
"GBR","QGDP","TOT","PC_CHGPP","Q","2013-Q4",0.530908,
"GBR","QGDP","TOT","PC_CHGPP","Q","2014-Q1",0.658962,
"GBR","QGDP","TOT","PC_CHGPP","Q","2014-Q2",0.655704,
"GBR","QGDP","TOT","PC_CHGPP","Q","2014-Q3",0.575953,
