"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","HUR","TOT","PC_LF","Q","2004-Q1",5.633333,
"AUT","HUR","TOT","PC_LF","Q","2004-Q2",5.366667,
"AUT","HUR","TOT","PC_LF","Q","2004-Q3",5.466667,
"AUT","HUR","TOT","PC_LF","Q","2004-Q4",5.5,
"AUT","HUR","TOT","PC_LF","Q","2005-Q1",5.433333,
"AUT","HUR","TOT","PC_LF","Q","2005-Q2",5.733333,
"AUT","HUR","TOT","PC_LF","Q","2005-Q3",5.7,
"AUT","HUR","TOT","PC_LF","Q","2005-Q4",5.733333,
"AUT","HUR","TOT","PC_LF","Q","2006-Q1",5.733333,
"AUT","HUR","TOT","PC_LF","Q","2006-Q2",5.233333,
"AUT","HUR","TOT","PC_LF","Q","2006-Q3",5,
"AUT","HUR","TOT","PC_LF","Q","2006-Q4",4.933333,
"AUT","HUR","TOT","PC_LF","Q","2007-Q1",4.933333,
"AUT","HUR","TOT","PC_LF","Q","2007-Q2",5.1,
"AUT","HUR","TOT","PC_LF","Q","2007-Q3",4.966667,
"AUT","HUR","TOT","PC_LF","Q","2007-Q4",4.466667,
"AUT","HUR","TOT","PC_LF","Q","2008-Q1",4.2,
"AUT","HUR","TOT","PC_LF","Q","2008-Q2",3.8,
"AUT","HUR","TOT","PC_LF","Q","2008-Q3",4.033333,
"AUT","HUR","TOT","PC_LF","Q","2008-Q4",4.4,
"AUT","HUR","TOT","PC_LF","Q","2009-Q1",4.766667,
"AUT","HUR","TOT","PC_LF","Q","2009-Q2",5.366667,
"AUT","HUR","TOT","PC_LF","Q","2009-Q3",5.666667,
"AUT","HUR","TOT","PC_LF","Q","2009-Q4",5.533333,
"AUT","HUR","TOT","PC_LF","Q","2010-Q1",5.066667,
"AUT","HUR","TOT","PC_LF","Q","2010-Q2",4.933333,
"AUT","HUR","TOT","PC_LF","Q","2010-Q3",4.8,
"AUT","HUR","TOT","PC_LF","Q","2010-Q4",4.5,
"AUT","HUR","TOT","PC_LF","Q","2011-Q1",4.866667,
"AUT","HUR","TOT","PC_LF","Q","2011-Q2",4.533333,
"AUT","HUR","TOT","PC_LF","Q","2011-Q3",4.133333,
"AUT","HUR","TOT","PC_LF","Q","2011-Q4",4.8,
"AUT","HUR","TOT","PC_LF","Q","2012-Q1",4.533333,
"AUT","HUR","TOT","PC_LF","Q","2012-Q2",4.933333,
"AUT","HUR","TOT","PC_LF","Q","2012-Q3",5.2,
"AUT","HUR","TOT","PC_LF","Q","2012-Q4",5,
"AUT","HUR","TOT","PC_LF","Q","2013-Q1",5.3,
"AUT","HUR","TOT","PC_LF","Q","2013-Q2",5.166667,
"AUT","HUR","TOT","PC_LF","Q","2013-Q3",5.4,
"AUT","HUR","TOT","PC_LF","Q","2013-Q4",5.5,
"AUT","HUR","TOT","PC_LF","Q","2014-Q1",5.6,
"AUT","HUR","TOT","PC_LF","Q","2014-Q2",5.5,
"AUT","HUR","TOT","PC_LF","Q","2014-Q3",5.666667,
"AUT","HUR","TOT","PC_LF","Q","2014-Q4",5.666667,
"AUT","HUR","TOT","PC_LF","Q","2015-Q1",5.566667,
"AUT","HUR","TOT","PC_LF","Q","2015-Q2",5.9,
"AUT","HUR","TOT","PC_LF","Q","2015-Q3",5.6,
"AUT","HUR","TOT","PC_LF","Q","2015-Q4",5.9,
"AUT","HUR","TOT","PC_LF","Q","2016-Q1",6,
"AUT","HUR","TOT","PC_LF","Q","2016-Q2",6.2,
"AUT","HUR","TOT","PC_LF","Q","2016-Q3",6.166667,
"AUT","HUR","TOT","PC_LF","Q","2016-Q4",5.8,
"AUT","HUR","TOT","PC_LF","Q","2017-Q1",5.733333,
"AUT","HUR","TOT","PC_LF","Q","2017-Q2",5.533333,
"AUT","HUR","TOT","PC_LF","Q","2017-Q3",5.4,
"AUT","HUR","TOT","PC_LF","Q","2017-Q4",5.433333,
"AUT","HUR","TOT","PC_LF","Q","2018-Q1",5.033333,
"AUT","HUR","TOT","PC_LF","Q","2018-Q2",4.833333,
"AUT","HUR","TOT","PC_LF","Q","2018-Q3",4.9,
"AUT","HUR","TOT","PC_LF","Q","2018-Q4",4.633333,
"AUT","HUR","TOT","PC_LF","Q","2019-Q1",4.733333,
"AUT","HUR","TOT","PC_LF","Q","2019-Q2",4.6,
"BEL","HUR","TOT","PC_LF","Q","2004-Q1",8.533334,
"BEL","HUR","TOT","PC_LF","Q","2004-Q2",7.766667,
"BEL","HUR","TOT","PC_LF","Q","2004-Q3",8.866667,
"BEL","HUR","TOT","PC_LF","Q","2004-Q4",8.366667,
"BEL","HUR","TOT","PC_LF","Q","2005-Q1",8.466666,
"BEL","HUR","TOT","PC_LF","Q","2005-Q2",8.5,
"BEL","HUR","TOT","PC_LF","Q","2005-Q3",8.5,
"BEL","HUR","TOT","PC_LF","Q","2005-Q4",8.433333,
"BEL","HUR","TOT","PC_LF","Q","2006-Q1",8.566667,
"BEL","HUR","TOT","PC_LF","Q","2006-Q2",8.666667,
"BEL","HUR","TOT","PC_LF","Q","2006-Q3",7.9,
"BEL","HUR","TOT","PC_LF","Q","2006-Q4",7.933333,
"BEL","HUR","TOT","PC_LF","Q","2007-Q1",7.833333,
"BEL","HUR","TOT","PC_LF","Q","2007-Q2",8,
"BEL","HUR","TOT","PC_LF","Q","2007-Q3",7.066667,
"BEL","HUR","TOT","PC_LF","Q","2007-Q4",7.066667,
"BEL","HUR","TOT","PC_LF","Q","2008-Q1",6.9,
"BEL","HUR","TOT","PC_LF","Q","2008-Q2",6.633333,
"BEL","HUR","TOT","PC_LF","Q","2008-Q3",7.5,
"BEL","HUR","TOT","PC_LF","Q","2008-Q4",6.833333,
"BEL","HUR","TOT","PC_LF","Q","2009-Q1",7.766667,
"BEL","HUR","TOT","PC_LF","Q","2009-Q2",7.833333,
"BEL","HUR","TOT","PC_LF","Q","2009-Q3",7.966667,
"BEL","HUR","TOT","PC_LF","Q","2009-Q4",8.066667,
"BEL","HUR","TOT","PC_LF","Q","2010-Q1",8.566667,
"BEL","HUR","TOT","PC_LF","Q","2010-Q2",8.466666,
"BEL","HUR","TOT","PC_LF","Q","2010-Q3",8.4,
"BEL","HUR","TOT","PC_LF","Q","2010-Q4",7.833333,
"BEL","HUR","TOT","PC_LF","Q","2011-Q1",7.1,
"BEL","HUR","TOT","PC_LF","Q","2011-Q2",6.9,
"BEL","HUR","TOT","PC_LF","Q","2011-Q3",7.5,
"BEL","HUR","TOT","PC_LF","Q","2011-Q4",7.066667,
"BEL","HUR","TOT","PC_LF","Q","2012-Q1",7.166667,
"BEL","HUR","TOT","PC_LF","Q","2012-Q2",7.266667,
"BEL","HUR","TOT","PC_LF","Q","2012-Q3",7.5,
"BEL","HUR","TOT","PC_LF","Q","2012-Q4",8.233334,
"BEL","HUR","TOT","PC_LF","Q","2013-Q1",8.4,
"BEL","HUR","TOT","PC_LF","Q","2013-Q2",8.4,
"BEL","HUR","TOT","PC_LF","Q","2013-Q3",8.466666,
"BEL","HUR","TOT","PC_LF","Q","2013-Q4",8.466666,
"BEL","HUR","TOT","PC_LF","Q","2014-Q1",8.666667,
"BEL","HUR","TOT","PC_LF","Q","2014-Q2",8.5,
"BEL","HUR","TOT","PC_LF","Q","2014-Q3",8.5,
"BEL","HUR","TOT","PC_LF","Q","2014-Q4",8.5,
"BEL","HUR","TOT","PC_LF","Q","2015-Q1",8.7,
"BEL","HUR","TOT","PC_LF","Q","2015-Q2",8.633333,
"BEL","HUR","TOT","PC_LF","Q","2015-Q3",8,
"BEL","HUR","TOT","PC_LF","Q","2015-Q4",8.633333,
"BEL","HUR","TOT","PC_LF","Q","2016-Q1",8.3,
"BEL","HUR","TOT","PC_LF","Q","2016-Q2",8.166667,
"BEL","HUR","TOT","PC_LF","Q","2016-Q3",7.733333,
"BEL","HUR","TOT","PC_LF","Q","2016-Q4",7.233333,
"BEL","HUR","TOT","PC_LF","Q","2017-Q1",7.7,
"BEL","HUR","TOT","PC_LF","Q","2017-Q2",7.233333,
"BEL","HUR","TOT","PC_LF","Q","2017-Q3",7.066667,
"BEL","HUR","TOT","PC_LF","Q","2017-Q4",6.433333,
"BEL","HUR","TOT","PC_LF","Q","2018-Q1",6.1,
"BEL","HUR","TOT","PC_LF","Q","2018-Q2",6.266667,
"BEL","HUR","TOT","PC_LF","Q","2018-Q3",5.733333,
"BEL","HUR","TOT","PC_LF","Q","2018-Q4",5.8,
"BEL","HUR","TOT","PC_LF","Q","2019-Q1",5.533333,
"BEL","HUR","TOT","PC_LF","Q","2019-Q2",5.5,
"CZE","HUR","TOT","PC_LF","Q","2004-Q1",8.433333,
"CZE","HUR","TOT","PC_LF","Q","2004-Q2",8.333333,
"CZE","HUR","TOT","PC_LF","Q","2004-Q3",8.233334,
"CZE","HUR","TOT","PC_LF","Q","2004-Q4",8.266666,
"CZE","HUR","TOT","PC_LF","Q","2005-Q1",8.066667,
"CZE","HUR","TOT","PC_LF","Q","2005-Q2",7.933333,
"CZE","HUR","TOT","PC_LF","Q","2005-Q3",7.8,
"CZE","HUR","TOT","PC_LF","Q","2005-Q4",7.866667,
"CZE","HUR","TOT","PC_LF","Q","2006-Q1",7.666667,
"CZE","HUR","TOT","PC_LF","Q","2006-Q2",7.233333,
"CZE","HUR","TOT","PC_LF","Q","2006-Q3",7.033333,
"CZE","HUR","TOT","PC_LF","Q","2006-Q4",6.6,
"CZE","HUR","TOT","PC_LF","Q","2007-Q1",5.833333,
"CZE","HUR","TOT","PC_LF","Q","2007-Q2",5.466667,
"CZE","HUR","TOT","PC_LF","Q","2007-Q3",5.1,
"CZE","HUR","TOT","PC_LF","Q","2007-Q4",4.866667,
"CZE","HUR","TOT","PC_LF","Q","2008-Q1",4.566667,
"CZE","HUR","TOT","PC_LF","Q","2008-Q2",4.366667,
"CZE","HUR","TOT","PC_LF","Q","2008-Q3",4.233333,
"CZE","HUR","TOT","PC_LF","Q","2008-Q4",4.433333,
"CZE","HUR","TOT","PC_LF","Q","2009-Q1",5.6,
"CZE","HUR","TOT","PC_LF","Q","2009-Q2",6.5,
"CZE","HUR","TOT","PC_LF","Q","2009-Q3",7.233333,
"CZE","HUR","TOT","PC_LF","Q","2009-Q4",7.4,
"CZE","HUR","TOT","PC_LF","Q","2010-Q1",7.766667,
"CZE","HUR","TOT","PC_LF","Q","2010-Q2",7.3,
"CZE","HUR","TOT","PC_LF","Q","2010-Q3",7.1,
"CZE","HUR","TOT","PC_LF","Q","2010-Q4",6.933333,
"CZE","HUR","TOT","PC_LF","Q","2011-Q1",6.933333,
"CZE","HUR","TOT","PC_LF","Q","2011-Q2",6.833333,
"CZE","HUR","TOT","PC_LF","Q","2011-Q3",6.566667,
"CZE","HUR","TOT","PC_LF","Q","2011-Q4",6.5,
"CZE","HUR","TOT","PC_LF","Q","2012-Q1",6.833333,
"CZE","HUR","TOT","PC_LF","Q","2012-Q2",6.866667,
"CZE","HUR","TOT","PC_LF","Q","2012-Q3",6.966667,
"CZE","HUR","TOT","PC_LF","Q","2012-Q4",7.2,
"CZE","HUR","TOT","PC_LF","Q","2013-Q1",7.2,
"CZE","HUR","TOT","PC_LF","Q","2013-Q2",6.966667,
"CZE","HUR","TOT","PC_LF","Q","2013-Q3",6.9,
"CZE","HUR","TOT","PC_LF","Q","2013-Q4",6.766667,
"CZE","HUR","TOT","PC_LF","Q","2014-Q1",6.533333,
"CZE","HUR","TOT","PC_LF","Q","2014-Q2",6.233333,
"CZE","HUR","TOT","PC_LF","Q","2014-Q3",5.9,
"CZE","HUR","TOT","PC_LF","Q","2014-Q4",5.833333,
"CZE","HUR","TOT","PC_LF","Q","2015-Q1",5.766667,
"CZE","HUR","TOT","PC_LF","Q","2015-Q2",5.133333,
"CZE","HUR","TOT","PC_LF","Q","2015-Q3",4.8,
"CZE","HUR","TOT","PC_LF","Q","2015-Q4",4.533333,
"CZE","HUR","TOT","PC_LF","Q","2016-Q1",4.166667,
"CZE","HUR","TOT","PC_LF","Q","2016-Q2",4.066667,
"CZE","HUR","TOT","PC_LF","Q","2016-Q3",3.933333,
"CZE","HUR","TOT","PC_LF","Q","2016-Q4",3.6,
"CZE","HUR","TOT","PC_LF","Q","2017-Q1",3.366667,
"CZE","HUR","TOT","PC_LF","Q","2017-Q2",3.1,
"CZE","HUR","TOT","PC_LF","Q","2017-Q3",2.733333,
"CZE","HUR","TOT","PC_LF","Q","2017-Q4",2.433333,
"CZE","HUR","TOT","PC_LF","Q","2018-Q1",2.3,
"CZE","HUR","TOT","PC_LF","Q","2018-Q2",2.3,
"CZE","HUR","TOT","PC_LF","Q","2018-Q3",2.266667,
"CZE","HUR","TOT","PC_LF","Q","2018-Q4",2.066667,
"CZE","HUR","TOT","PC_LF","Q","2019-Q1",1.966667,
"CZE","HUR","TOT","PC_LF","Q","2019-Q2",2.066667,
"DNK","HUR","TOT","PC_LF","Q","2004-Q1",5.666667,
"DNK","HUR","TOT","PC_LF","Q","2004-Q2",5.466667,
"DNK","HUR","TOT","PC_LF","Q","2004-Q3",5.6,
"DNK","HUR","TOT","PC_LF","Q","2004-Q4",5.333333,
"DNK","HUR","TOT","PC_LF","Q","2005-Q1",5.233333,
"DNK","HUR","TOT","PC_LF","Q","2005-Q2",5.066667,
"DNK","HUR","TOT","PC_LF","Q","2005-Q3",4.733333,
"DNK","HUR","TOT","PC_LF","Q","2005-Q4",4.166667,
"DNK","HUR","TOT","PC_LF","Q","2006-Q1",4.166667,
"DNK","HUR","TOT","PC_LF","Q","2006-Q2",4.1,
"DNK","HUR","TOT","PC_LF","Q","2006-Q3",3.7,
"DNK","HUR","TOT","PC_LF","Q","2006-Q4",3.633333,
"DNK","HUR","TOT","PC_LF","Q","2007-Q1",3.9,
"DNK","HUR","TOT","PC_LF","Q","2007-Q2",3.6,
"DNK","HUR","TOT","PC_LF","Q","2007-Q3",4.033333,
"DNK","HUR","TOT","PC_LF","Q","2007-Q4",3.566667,
"DNK","HUR","TOT","PC_LF","Q","2008-Q1",3.2,
"DNK","HUR","TOT","PC_LF","Q","2008-Q2",3.5,
"DNK","HUR","TOT","PC_LF","Q","2008-Q3",3.833333,
"DNK","HUR","TOT","PC_LF","Q","2008-Q4",4.266667,
"DNK","HUR","TOT","PC_LF","Q","2009-Q1",5.166667,
"DNK","HUR","TOT","PC_LF","Q","2009-Q2",6.233333,
"DNK","HUR","TOT","PC_LF","Q","2009-Q3",6.833333,
"DNK","HUR","TOT","PC_LF","Q","2009-Q4",7.3,
"DNK","HUR","TOT","PC_LF","Q","2010-Q1",7.633333,
"DNK","HUR","TOT","PC_LF","Q","2010-Q2",7.8,
"DNK","HUR","TOT","PC_LF","Q","2010-Q3",7.733333,
"DNK","HUR","TOT","PC_LF","Q","2010-Q4",7.833333,
"DNK","HUR","TOT","PC_LF","Q","2011-Q1",7.833333,
"DNK","HUR","TOT","PC_LF","Q","2011-Q2",7.533333,
"DNK","HUR","TOT","PC_LF","Q","2011-Q3",7.733333,
"DNK","HUR","TOT","PC_LF","Q","2011-Q4",7.933333,
"DNK","HUR","TOT","PC_LF","Q","2012-Q1",7.833333,
"DNK","HUR","TOT","PC_LF","Q","2012-Q2",8.1,
"DNK","HUR","TOT","PC_LF","Q","2012-Q3",7.8,
"DNK","HUR","TOT","PC_LF","Q","2012-Q4",7.5,
"DNK","HUR","TOT","PC_LF","Q","2013-Q1",7.6,
"DNK","HUR","TOT","PC_LF","Q","2013-Q2",7.4,
"DNK","HUR","TOT","PC_LF","Q","2013-Q3",7.3,
"DNK","HUR","TOT","PC_LF","Q","2013-Q4",7.233333,
"DNK","HUR","TOT","PC_LF","Q","2014-Q1",7,
"DNK","HUR","TOT","PC_LF","Q","2014-Q2",6.733333,
"DNK","HUR","TOT","PC_LF","Q","2014-Q3",6.9,
"DNK","HUR","TOT","PC_LF","Q","2014-Q4",6.733333,
"DNK","HUR","TOT","PC_LF","Q","2015-Q1",6.466667,
"DNK","HUR","TOT","PC_LF","Q","2015-Q2",6.4,
"DNK","HUR","TOT","PC_LF","Q","2015-Q3",6.2,
"DNK","HUR","TOT","PC_LF","Q","2015-Q4",6.1,
"DNK","HUR","TOT","PC_LF","Q","2016-Q1",6,
"DNK","HUR","TOT","PC_LF","Q","2016-Q2",6.066667,
"DNK","HUR","TOT","PC_LF","Q","2016-Q3",6.033333,
"DNK","HUR","TOT","PC_LF","Q","2016-Q4",5.966667,
"DNK","HUR","TOT","PC_LF","Q","2017-Q1",6.1,
"DNK","HUR","TOT","PC_LF","Q","2017-Q2",5.833333,
"DNK","HUR","TOT","PC_LF","Q","2017-Q3",5.866667,
"DNK","HUR","TOT","PC_LF","Q","2017-Q4",5.466667,
"DNK","HUR","TOT","PC_LF","Q","2018-Q1",5.1,
"DNK","HUR","TOT","PC_LF","Q","2018-Q2",5.2,
"DNK","HUR","TOT","PC_LF","Q","2018-Q3",5,
"DNK","HUR","TOT","PC_LF","Q","2018-Q4",5.1,
"DNK","HUR","TOT","PC_LF","Q","2019-Q1",5.2,
"DNK","HUR","TOT","PC_LF","Q","2019-Q2",4.9,
"FIN","HUR","TOT","PC_LF","Q","2004-Q1",9,
"FIN","HUR","TOT","PC_LF","Q","2004-Q2",8.966666,
"FIN","HUR","TOT","PC_LF","Q","2004-Q3",8.7,
"FIN","HUR","TOT","PC_LF","Q","2004-Q4",8.666667,
"FIN","HUR","TOT","PC_LF","Q","2005-Q1",8.6,
"FIN","HUR","TOT","PC_LF","Q","2005-Q2",8.366667,
"FIN","HUR","TOT","PC_LF","Q","2005-Q3",8.2,
"FIN","HUR","TOT","PC_LF","Q","2005-Q4",8.1,
"FIN","HUR","TOT","PC_LF","Q","2006-Q1",7.966667,
"FIN","HUR","TOT","PC_LF","Q","2006-Q2",7.766667,
"FIN","HUR","TOT","PC_LF","Q","2006-Q3",7.6,
"FIN","HUR","TOT","PC_LF","Q","2006-Q4",7.333333,
"FIN","HUR","TOT","PC_LF","Q","2007-Q1",7.1,
"FIN","HUR","TOT","PC_LF","Q","2007-Q2",6.866667,
"FIN","HUR","TOT","PC_LF","Q","2007-Q3",6.8,
"FIN","HUR","TOT","PC_LF","Q","2007-Q4",6.6,
"FIN","HUR","TOT","PC_LF","Q","2008-Q1",6.366667,
"FIN","HUR","TOT","PC_LF","Q","2008-Q2",6.3,
"FIN","HUR","TOT","PC_LF","Q","2008-Q3",6.4,
"FIN","HUR","TOT","PC_LF","Q","2008-Q4",6.7,
"FIN","HUR","TOT","PC_LF","Q","2009-Q1",7.3,
"FIN","HUR","TOT","PC_LF","Q","2009-Q2",8,
"FIN","HUR","TOT","PC_LF","Q","2009-Q3",8.366667,
"FIN","HUR","TOT","PC_LF","Q","2009-Q4",8.566667,
"FIN","HUR","TOT","PC_LF","Q","2010-Q1",8.566667,
"FIN","HUR","TOT","PC_LF","Q","2010-Q2",8.433333,
"FIN","HUR","TOT","PC_LF","Q","2010-Q3",8.3,
"FIN","HUR","TOT","PC_LF","Q","2010-Q4",8.1,
"FIN","HUR","TOT","PC_LF","Q","2011-Q1",7.966667,
"FIN","HUR","TOT","PC_LF","Q","2011-Q2",7.8,
"FIN","HUR","TOT","PC_LF","Q","2011-Q3",7.733333,
"FIN","HUR","TOT","PC_LF","Q","2011-Q4",7.633333,
"FIN","HUR","TOT","PC_LF","Q","2012-Q1",7.6,
"FIN","HUR","TOT","PC_LF","Q","2012-Q2",7.733333,
"FIN","HUR","TOT","PC_LF","Q","2012-Q3",7.866667,
"FIN","HUR","TOT","PC_LF","Q","2012-Q4",7.866667,
"FIN","HUR","TOT","PC_LF","Q","2013-Q1",8.066667,
"FIN","HUR","TOT","PC_LF","Q","2013-Q2",8.033334,
"FIN","HUR","TOT","PC_LF","Q","2013-Q3",8.1,
"FIN","HUR","TOT","PC_LF","Q","2013-Q4",8.366667,
"FIN","HUR","TOT","PC_LF","Q","2014-Q1",8.433333,
"FIN","HUR","TOT","PC_LF","Q","2014-Q2",8.6,
"FIN","HUR","TOT","PC_LF","Q","2014-Q3",8.8,
"FIN","HUR","TOT","PC_LF","Q","2014-Q4",9,
"FIN","HUR","TOT","PC_LF","Q","2015-Q1",9.133333,
"FIN","HUR","TOT","PC_LF","Q","2015-Q2",9.3,
"FIN","HUR","TOT","PC_LF","Q","2015-Q3",9.4,
"FIN","HUR","TOT","PC_LF","Q","2015-Q4",9.366667,
"FIN","HUR","TOT","PC_LF","Q","2016-Q1",9.1,
"FIN","HUR","TOT","PC_LF","Q","2016-Q2",8.933333,
