LOCATION,TIME,Value
AUT,2004,33753.472389
AUT,2005,35024.557484
AUT,2006,37626.245494
AUT,2007,39393.953567
AUT,2008,41316.022642
AUT,2009,40935.528801
AUT,2010,42017.796539
AUT,2011,44469.209642
AUT,2012,46477.655075
AUT,2013,47936.677963
AUT,2014,48813.534409
AUT,2015,49955.456118
AUT,2016,51790.942027
AUT,2017,53952.33384
AUT,2018,55513.222069
BEL,2004,32033.983077
BEL,2005,33177.947339
BEL,2006,35222.474358
BEL,2007,36755.650522
BEL,2008,37883.233422
BEL,2009,37757.239173
BEL,2010,39836.849331
BEL,2011,41108.701911
BEL,2012,42440.26234
BEL,2013,43806.183952
BEL,2014,45047.283733
BEL,2015,46360.062536
BEL,2016,48009.777277
BEL,2017,50336.152395
BEL,2018,51490.800223
CZE,2004,20779.142527
CZE,2005,21907.305595
CZE,2006,23712.242435
CZE,2007,26064.506576
CZE,2008,27724.418767
CZE,2009,27474.197993
CZE,2010,27554.742856
CZE,2011,28795.816027
CZE,2012,29051.390424
CZE,2013,30496.020039
CZE,2014,32265.045158
CZE,2015,33701.384
CZE,2016,35234.017075
CZE,2017,38037.214886
CZE,2018,39740.849024
DNK,2004,32917.958893
DNK,2005,34152.881663
DNK,2006,37297.523836
DNK,2007,38978.780753
DNK,2008,41282.995471
DNK,2009,40340.373142
DNK,2010,43004.912769
DNK,2011,44407.94207
DNK,2012,44808.549212
DNK,2013,46742.939663
DNK,2014,47905.477079
DNK,2015,49071.304706
DNK,2016,50868.657145
DNK,2017,54263.537389
DNK,2018,55704.272034
FIN,2004,31173.153761
FIN,2005,32051.762889
FIN,2006,34419.156888
FIN,2007,37801.926033
FIN,2008,40083.701943
FIN,2009,37979.854491
FIN,2010,38953.010667
FIN,2011,40916.647325
FIN,2012,40872.854802
FIN,2013,41492.918416
FIN,2014,41749.864733
FIN,2015,42527.950728
FIN,2016,44015.559826
FIN,2017,46735.525585
FIN,2018,48433.151215
FRA,2004,29038.567562
FRA,2005,30504.058784
FRA,2006,32441.180776
FRA,2007,34095.407473
FRA,2008,35102.870428
FRA,2009,34693.236376
FRA,2010,35909.162325
FRA,2011,37447.949543
FRA,2012,37684.198067
FRA,2013,39528.473644
FRA,2014,40144.059485
FRA,2015,40840.848298
FRA,2016,42067.267459
FRA,2017,44125.387538
FRA,2018,45149.096054
DEU,2004,31712.774026
DEU,2005,32236.740986
DEU,2006,34630.81647
DEU,2007,36822.840138
DEU,2008,38432.448211
DEU,2009,37472.754357
DEU,2010,39673.86048
DEU,2011,42541.513126
DEU,2012,43359.541048
DEU,2013,44993.667838
DEU,2014,47011.280402
DEU,2015,47683.547301
DEU,2016,49515.862019
DEU,2017,52055.309073
DEU,2018,53088.605595
GRC,2004,25437.218509
GRC,2005,25577.445437
GRC,2006,28519.445058
GRC,2007,29291.872922
GRC,2008,30855.935774
GRC,2009,30365.360391
GRC,2010,28148.306881
GRC,2011,26141.091034
GRC,2012,25284.405782
GRC,2013,26097.797516
GRC,2014,26838.582268
GRC,2015,26902.327613
GRC,2016,27273.87303
GRC,2017,28579.715733
GRC,2018,29592.438388
HUN,2004,16228.920601
HUN,2005,17073.551438
HUN,2006,18342.715276
HUN,2007,19045.808484
HUN,2008,20696.728568
HUN,2009,20678.068296
HUN,2010,21569.890078
HUN,2011,22894.347639
HUN,2012,23148.127881
HUN,2013,24498.179083
HUN,2014,25604.988288
HUN,2015,26668.040855
HUN,2016,27171.159413
HUN,2017,29159.126405
HUN,2018,31080.934183
IRL,2004,38697.209778
IRL,2005,40437.080879
IRL,2006,44243.985255
IRL,2007,46746.547399
IRL,2008,44219.775877
IRL,2009,41587.138158
IRL,2010,43298.660675
IRL,2011,44870.463335
IRL,2012,46277.631709
IRL,2013,47936.388703
IRL,2014,51125.923299
IRL,2015,69147.029059
IRL,2016,70616.428356
IRL,2017,77679.028493
IRL,2018,83081.132162
ITA,2004,29446.371235
ITA,2005,30016.1557
ITA,2006,32262.115849
ITA,2007,33905.682103
ITA,2008,35274.312724
ITA,2009,34329.471244
ITA,2010,34831.193927
ITA,2011,36183.316026
ITA,2012,36002.908697
ITA,2013,36067.707344
ITA,2014,36194.916674
ITA,2015,36909.296843
ITA,2016,39178.403316
ITA,2017,41200.047746
ITA,2018,41836.987819
LUX,2004,63993.308202
LUX,2005,68140.65238
LUX,2006,77903.93005
LUX,2007,83858.235727
LUX,2008,86591.985457
LUX,2009,82206.353504
LUX,2010,85514.872976
LUX,2011,91814.036613
LUX,2012,91526.720705
LUX,2013,95246.113893
LUX,2014,100933.604548
LUX,2015,103787.967646
LUX,2016,107774.89221
LUX,2017,110470.668593
LUX,2018,113136.721771
NLD,2004,35776.668812
NLD,2005,37625.252435
NLD,2006,40971.493263
NLD,2007,43895.900712
NLD,2008,46419.042594
NLD,2009,44567.119952
NLD,2010,45041.369847
NLD,2011,46599.227659
NLD,2012,47271.968226
NLD,2013,49242.786711
NLD,2014,49233.230349
NLD,2015,50301.845624
NLD,2016,51339.511031
NLD,2017,54504.011325
NLD,2018,56325.699457
POL,2004,13341.874444
POL,2005,13897.543071
POL,2006,15145.861194
POL,2007,16789.98011
POL,2008,18315.13109
POL,2009,19080.70466
POL,2010,20789.191989
POL,2011,22576.179383
POL,2012,23542.002955
POL,2013,24422.763907
POL,2014,25297.950445
POL,2015,26529.036797
POL,2016,27406.094967
POL,2017,29583.190056
POL,2018,30982.188526
PRT,2004,21458.183025
PRT,2005,22725.351606
PRT,2006,24657.083629
PRT,2007,25708.159839
PRT,2008,26665.771577
PRT,2009,26464.441285
PRT,2010,27259.769598
PRT,2011,26769.42769
PRT,2012,26438.140472
PRT,2013,27936.006299
PRT,2014,28742.313125
PRT,2015,29668.804155
PRT,2016,31043.431449
PRT,2017,32777.379384
PRT,2018,33408.807326
SVK,2004,15183.955756
SVK,2005,16595.261602
SVK,2006,18831.79902
SVK,2007,21115.656398
SVK,2008,23608.977522
SVK,2009,22951.723337
SVK,2010,24974.227631
SVK,2011,26051.137711
SVK,2012,26940.079741
SVK,2013,27969.200116
SVK,2014,28992.074628
SVK,2015,29932.196336
SVK,2016,30824.561057
SVK,2017,32248.832146
SVK,2018,33742.625728
ESP,2004,26158.034977
ESP,2005,27600.937175
ESP,2006,30713.803154
ESP,2007,32431.570501
ESP,2008,33242.245427
ESP,2009,32095.778361
ESP,2010,31689.975609
ESP,2011,31872.363088
ESP,2012,31724.631513
ESP,2013,32452.659676
ESP,2014,33544.352014
ESP,2015,34938.581464
ESP,2016,36581.478491
ESP,2017,38939.213628
ESP,2018,39711.034588
SWE,2004,33608.849355
SWE,2005,34029.085227
SWE,2006,37435.395276
SWE,2007,40592.764986
SWE,2008,41971.781211
SWE,2009,40156.476371
SWE,2010,42179.452526
SWE,2011,44503.736723
SWE,2012,45304.291021
SWE,2013,46138.356247
SWE,2014,47045.696469
SWE,2015,48974.93343
SWE,2016,49423.1401
SWE,2017,51878.682906
SWE,2018,53250.51733
GBR,2004,31984.826326
GBR,2005,32661.847992
GBR,2006,34778.350939
GBR,2007,35601.9985
GBR,2008,36650.101264
GBR,2009,35012.082006
GBR,2010,36344.412859
GBR,2011,37146.173273
GBR,2012,38309.028313
GBR,2013,39984.885036
GBR,2014,41269.351632
GBR,2015,42522.183841
GBR,2016,43508.818806
GBR,2017,45391.963358
GBR,2018,46010.2431
EST,2004,14481.432753
EST,2005,16574.460822
EST,2006,19257.646402
EST,2007,22133.611223
EST,2008,22807.728472
EST,2009,20579.678682
EST,2010,21766.793095
EST,2011,24738.851279
EST,2012,26141.083529
EST,2013,27596.458609
EST,2014,29107.89112
EST,2015,29444.318328
EST,2016,30910.607493
EST,2017,33721.128605
EST,2018,36022.427422
SVN,2004,22737.262303
SVN,2005,23848.605399
SVN,2006,25681.207419
SVN,2007,27533.363591
SVN,2008,29594.66035
SVN,2009,27516.532192
SVN,2010,27821.436958
SVN,2011,28931.421879
SVN,2012,29048.331295
SVN,2013,29979.62248
SVN,2014,30872.723265
SVN,2015,31640.32549
SVN,2016,33198.254511
SVN,2017,36152.76101
SVN,2018,37964.634599
OECD,2004,29091.663707
OECD,2005,30478.990308
OECD,2006,32508.887051
OECD,2007,34066.083002
OECD,2008,34929.9584
OECD,2009,33982.940292
OECD,2010,35286.421485
OECD,2011,36689.58171
OECD,2012,37668.444646
OECD,2013,39028.618277
OECD,2014,40189.709957
OECD,2015,41368.539078
OECD,2016,42477.024107
OECD,2017,44325.468623
OECD,2018,45766.028363
LVA,2004,12199.780284
LVA,2005,13837.089238
LVA,2006,15742.904798
LVA,2007,18121.545421
LVA,2008,19462.435513
LVA,2009,16921.577956
LVA,2010,17589.444565
LVA,2011,19797.965061
LVA,2012,21298.207498
LVA,2013,22690.891022
LVA,2014,23838.653425
LVA,2015,24833.581204
LVA,2016,25878.635673
LVA,2017,28131.141002
LVA,2018,30309.508037
LTU,2004,13031.432976
LTU,2005,14526.159527
LTU,2006,16484.558405
LTU,2007,19095.571569
LTU,2008,20744.011329
LTU,2009,18145.907109
LTU,2010,20038.874648
LTU,2011,22823.934252
LTU,2012,24645.651236
LTU,2013,26679.905255
LTU,2014,28156.141215
LTU,2015,28823.753396
LTU,2016,30334.231283
LTU,2017,33314.741097
LTU,2018,35309.396964
BGR,2004,9117.098653
BGR,2005,10183.806414
BGR,2006,11251.243922
BGR,2007,12607.887169
BGR,2008,14089.659789
