,Area,years,value,population,consumption per habita
0,Austria,2004,783.0,8142573,96.16125025836428
1,Belgium,2004,837.0,10396421,80.508474983843
2,Bulgaria,2004,391.0,7745147,50.483225173131
3,Croatia,2004,216.0,4305725,50.16576766978848
4,Denmark,2004,397.0,5397640,73.5506628822967
5,Estonia,2004,84.0,1366250,61.48215919487649
6,Finland,2004,377.0,5219732,72.2259303734368
7,France,2004,5650.0,62292241,90.70150486318192
8,Germany,2004,6966.0,82531671,84.40396172276701
9,Greece,2004,890.0,10940369,81.35008974560182
10,Hungary,2004,906.0,10116742,89.55452259235236
11,Ireland,2004,420.0,4028851,104.24808462760227
12,Italy,2004,5015.0,57495900,87.22361072702576
13,Latvia,2004,126.0,2276520,55.34763586526804
14,Lithuania,2004,250.0,3398929,73.5525808276666
15,Luxembourg,2004,47.0,454960,103.30578512396694
16,Malta,2004,40.0,399867,100.03326105930222
17,Netherlands,2004,1282.0,16258032,78.85333230983922
18,Poland,2004,2968.0,38190608,77.71544249832314
19,Portugal,2004,906.0,10473050,86.50775084621958
20,Romania,2004,1205.0,21521142,55.991452498199216
21,Slovakia,2004,334.0,5371875,62.175683536940085
22,Slovenia,2004,180.0,1996433,90.16080178999245
23,Spain,2004,4628.0,42547451,108.77267359682722
24,Sweden,2004,698.0,8975670,77.76578238727582
25,United Kingdom,2004,5157.0,59793759,86.2464592667606
26,Austria,2005,783.0,8201359,95.4719821434472
27,Belgium,2005,873.0,10445852,83.57384347394544
28,Bulgaria,2005,388.0,7688573,50.464501019890164
29,Croatia,2005,217.0,4310861,50.33797192718578
30,Denmark,2005,511.0,5411405,94.43018957183948
31,Estonia,2005,90.0,1358850,66.23247599072745
32,Finland,2005,381.0,5236611,72.75697965726306
33,France,2005,5503.0,62772870,87.66526048593923
34,Germany,2005,6924.0,82500849,83.92640904822689
35,Greece,2005,928.0,10969912,84.59502683339666
36,Hungary,2005,851.0,10097549,84.27787773052648
37,Ireland,2005,421.0,4111672,102.39143589274632
38,Italy,2005,4979.0,57874753,86.03060474400642
39,Latvia,2005,134.0,2249724,59.56286193328604
40,Lithuania,2005,274.0,3355220,81.66379551862471
41,Luxembourg,2005,48.0,461230,104.06955315135616
42,Malta,2005,39.0,402668,96.85398392720553
43,Netherlands,2005,1256.0,16305526,77.02910044116332
44,Poland,2005,2949.0,38173835,77.25186636343977
45,Portugal,2005,918.0,10494672,87.47295770653909
46,Romania,2005,1408.0,21382354,65.84868999923955
47,Slovakia,2005,355.0,5372685,66.07496996380767
48,Slovenia,2005,183.0,1997590,91.6103905205773
49,Spain,2005,4688.0,43296338,108.27705567154432
50,Sweden,2005,703.0,9011392,78.01236479336377
51,United Kingdom,2005,5137.0,60182050,85.35767724761786
52,Austria,2006,762.0,8254298,92.31554276329737
53,Belgium,2006,844.0,10511382,80.29391377841658
54,Bulgaria,2006,364.0,7629371,47.71035515247587
55,Croatia,2006,252.0,4312487,58.434958760455395
56,Denmark,2006,438.0,5427459,80.70074780850486
57,Estonia,2006,95.0,1350700,70.3339009402532
58,Finland,2006,378.0,5255580,71.92355553525967
59,France,2006,5235.0,63229635,82.79345594830652
60,Germany,2006,6953.0,82437995,84.3421774146739
61,Greece,2006,940.0,11004716,85.41792446074938
62,Hungary,2006,844.0,10076581,83.75856850652022
63,Ireland,2006,431.0,4208156,102.42015742762388
64,Italy,2006,5042.0,58064214,86.83489627535474
65,Latvia,2006,135.0,2227874,60.595886481910554
66,Lithuania,2006,264.0,3289835,80.2471856491283
67,Luxembourg,2006,49.0,469086,104.45845751098946
68,Malta,2006,40.0,404999,98.76567596463201
69,Netherlands,2006,1327.0,16334210,81.24053749768125
70,Poland,2006,2961.0,38157055,77.60032843205536
71,Portugal,2006,947.0,10511988,90.08762186562618
72,Romania,2006,1385.0,21257016,65.15495872045258
73,Slovakia,2006,335.0,5372928,62.34961644749381
74,Slovenia,2006,175.0,2003358,87.35333375262934
75,Spain,2006,4720.0,44009971,107.24842331752502
76,Sweden,2006,705.0,9047752,77.91990761904172
77,United Kingdom,2006,5280.0,60620361,87.09944831902271
78,Austria,2007,783.0,8282984,94.531149643655
79,Belgium,2007,887.0,10584534,83.80151643898542
80,Bulgaria,2007,354.0,7572673,46.747033709233186
81,Croatia,2007,274.0,4313530,63.5210604771498
82,Denmark,2007,500.0,5447084,91.79223232099964
